Alaska	Lisa Murkowski	lisamurkowski
Alaska	Dan Sullivan	SenDanSullivan
Alabama	Richard Shelby	SenShelby
Alabama	Luther Strange	lutherstrange
Arkansas	John Boozman	JohnBoozman
Arkansas	Tom Cotton	SenTomCotton
Arizona	John McCain	SenJohnMcCain
Arizona	Jeff Flake	JeffFlake
California	Dianne Feinstein	SenFeinstein
California	Kamala Harris	KamalaHarris
Colorado	Michael Bennet	SenBennetCO
Colorado	Cory Gardner	SenCoryGardner
Connecticut	Richard Blumenthal	SenBlumenthal
Connecticut	Chris Murphy	ChrisMurphyCT
Delaware	Tom Carper	SenatorCarper
Delaware	Chris Coons	ChrisCoons
Florida	Bill Nelson	SenBillNelson
Florida	Marco Rubio	marcorubio
Georgia	Johnny Isakson	SenatorIsakson
Georgia	David Perdue	sendavidperdue
Hawaii	Brian Schatz	SenBrianSchatz
Hawaii	Mazie Hirono	maziehirono
Iowa	Chuck Grassley	ChuckGrassley
Iowa	Joni Ernst	SenJoniErnst
Idaho	Mike Crapo	MikeCrapo
Idaho	Jim Risch	SenatorRisch
Illinois	Dick Durbin	SenatorDurbin
Illinois	Tammy Duckworth	senduckworth
Indiana	Todd Young	sentoddyoung
Indiana	Joe Donnelly	SenDonnelly
Kansas	Pat Roberts	SenPatRoberts
Kansas	Jerry Moran	JerryMoran
Kentucky	Mitch McConnel	McConnellPress
Kentucky	Rand Paul	RandPaul
Louisiana	Bill Cassidy	BillCassidy
Louisiana	John Kennedy	senjohnkennedy
Massachusetts	Elizabeth Warren	SenWarren
Massachusetts	Ed Markey	SenMarkey
Maryland	Ben Cardin	SenatorCardin
Maryland	Chris VanHollen	ChrisVanHollen
Maine	Angus King	SenAngusKing
Maine	Susan Collins	SenatorCollins
Michigan	Debbie Stabenow	SenStabenow
Michigan	Gary Peters	SenGaryPeters
Minnesota	Amy Klobuchar	amyklobuchar
Minnesota	Al Franken	SenFranken
Missouri	Claire McCaskill	Clairecmc
Missouri	Roy Blunt	RoyBlunt
Mississippi	Roger Wicker	SenatorWicker
Mississippi	Thad Cochran	SenThadCochran
Montana	Jon Tester	SenatorTester
Montana	Steve Daines	SteveDaines
North Carolina	Thom Tillis	SenThomTillis
North Carolina	Richard Burr	SenatorBurr
North Dakota	Heidi Heitkamp	SenatorHeitkamp
North Dakota	John Hoeven	SenJohnHoeven
Nebraska	Deb Fischer	SenatorFischer
Nebraska	Ben Sasse	SenSasse
New Hampshire	Jeanne Shaheen	SenatorShaheen
New Hampshire	Maggie Hassan	senatorhassan
New Jersey	Bob Menendez	SenatorMenendez
New Jersey	Cory Booker	CoryBooker
New Mexico	Martin Heinrich	MartinHeinrich
New Mexico	Tom Udall	SenatorTomUdall
New York	Kirsten Gillibrand	SenGillibrand
New York	Chuck Schumer	SenSchumer
Nevada	Dean Heller	SenDeanHeller
Nevada	Cortez Masto	sencortezmasto
Ohio	Sherrod Brown	SenSherrodBrown
Ohio	Rob Portman	senrobportman
Oklahoma	Jim Inhofe	InhofePress
Oklahoma	James Lankford	SenatorLankford
Oregon	Jeff Merkley	SenJeffMerkley
Oregon	Ron Wyden	RonWyden
Pennsylvania	Bob Casey	SenBobCasey
Pennsylvania	Pat Toomey	SenToomey
Rhode Island	Sheldon Whitehouse	SenWhitehouse
Rhode Island	Jack Reed	SenJackReed
South Carolina	Lindsey Graham	LindseyGrahamSC
South Carolina	Tim Scott	SenatorTimScott
South Dakota	Mike Rounds	SenatorRounds
South Dakota	John Thune	SenJohnThune
Tennessee	Bob Corker	SenBobCorker
Tennessee	Lamar Alexander	SenAlexander
Texas	Ted Cruz	SenTedCruz
Texas	John Cornyn	JohnCornyn
Utah	Orrin Hatch	SenOrrinHatch
Utah	Mike Lee	SenMikeLee
Vermont	Bernie Sanders	SenSanders
Vermont	Patrick Leahy	SenatorLeahy
Virginia	Tim Kaine	timkaine
Virginia	Mark Warner	MarkWarner
Washington	Maria Cantwell	SenatorCantwell
Washington	Patty Murray	PattyMurray
West Virginia	Joe Manchin	Sen_JoeManchin
West Virginia	Shelley Moore Capito	SenCapito
Wisconsin	Tammy Baldwin	SenatorBaldwin
Wisconsin	Ron Johnson	SenRonJohnson
Wyoming	John Barrasso	SenJohnBarrasso
Wyoming	Mike Enzi	SenatorEnzi
