Airman Kenny Rivera Rojas represents the best of Arkansas by selflessly serving those affected by Hurricane Maria.https://www.defense.gov/News/Article/Article/1336707/little-rock-airman-supports-family-in-puerto-rico/source/GovDelivery/ …	
My statement on the potential sale of THAAD system to Saudi Arabia: http://ow.ly/UbCe30fHBgV pic.twitter.com/HjgYQguA95	
I sent a letter to AG Sessions today urging transparency in court for victims of Iranian terrorism: http://ow.ly/gUM330fHbav 	
Great to see Arkansas bankers from around the state today. Thanks for your time.pic.twitter.com/DCTEtygSgr	
I introduced the VALOR Act today to increase access to apprenticeship-training programs for our veterans: http://ow.ly/djVg30fG0cQ 	
Great turnout for the War Eagle Bridge rehabilitation opening. Congratulations!pic.twitter.com/NlbCVGFVsh	
Great to see R.D. James nominated as Assistant Secretary of the Army for Civil Works. He brings a wealth of experience and knowledge.	
ICYMI - I joined @postlive for #SecuringTomorrow with David Ignatius this morning. WATCH:http://ow.ly/gHaM30fFIQq 	#SecuringTomorrow
I appreciate Pastor David Poe and his wife Nancy from Greene County for stopping by today.pic.twitter.com/BY1ejHVCyr	
WATCH my speech on Iran at @CFR_org LIVE:http://ow.ly/kJhC30fCs5l 	
My statement on the expulsion of Cuban diplomats from U.S. soil: http://ow.ly/Tc7f30fCfPK pic.twitter.com/DfJK1GJ1Lq	
ICYMI – I talked with Kevin Miller on @newsradio1029 this morning. LISTEN:pic.twitter.com/dFav4Le72a	
This morning I joined @HughHewitt to discuss the Las Vegas shooting. LISTEN:pic.twitter.com/LChcq8RkXE	
WATCH the @SASCmajority hearing on the Political and Security Situation in Afghanistan live: http://ow.ly/nk7q30fBCXb 	
Joining @newsradio1029 shortly. Tune in!	
Deeply saddened by the tragic and senseless shooting in Las Vegas. My thoughts and prayers are with all victims and their families.	
It's game time. Cheering on the @ArkRazorbacks! Beat New Mexico State! #WPS	#WPS
Congratulations to Col. Robert Kinney on a successful change of command, and thanks to Col. Doorenbos for your service at the 188th Wing.pic.twitter.com/4bT2wbzm3r	
The health insurance tax is another example of how Obamacare harms working Americans. More: http://ow.ly/dt6930ft8FH 	
I appreciate Kevin from Arkansas for talking with me about adult education today.pic.twitter.com/2bfRZHzT6g	
Arkansans with the Boys and Girls Club of America came by today to discuss the importance of youth mentoring.pic.twitter.com/Rhe3fFRdYs	
Proud to support the Healthcare Tax Relief Act which provides relief to working Arkansans from Obamacare.http://ow.ly/s2ML30frLpT 	
WATCH my Q&A with General Dunford at today’s @SASCmajority hearing:pic.twitter.com/OibPryg8S8	
My deepest condolences to the family and friends of AR Guardsmen Rufus Brown and Justin Ashley. Their service will not be forgotten.	
Today, AG Sessions offered a strong defense of why universities ought to challenge students, not shelter them. READ: http://ow.ly/NyED30frHqv 	
LISTEN to my interview with @HughHewitt about the RAISE Act and North Korea:pic.twitter.com/ZzC5PBrBF8	
I want to wish all those celebrating Rosh Hashanah a happy, healthy, and sweet new year! Shanah tovah!	
