Religious freedom does not have to come at the expense of women's health.	
Reversing gains in reducing unplanned pregnancies is counterproductive and drives up health care costshttps://twitter.com/politico/status/916322738566057985 …	
FACT: @EPA missed the deadline for evaluating ozone levels, putting the health of 6.3 million kids with asthma at greater risk.https://twitter.com/EPA/status/915962285155270656 …	
FACT: The #CleanPowerPlan that @EPA may repeal this week would help to avoid 90,000 asthma attacks in children each year. #KidsEnvHealthhttps://twitter.com/EPA/status/915962285155270656 …	#CleanPowerPlan #KidsEnvHealthhttps
Let's come together and do something historic that could positively impact every corner of this country. Let's build.https://www.washingtonpost.com/local/trafficandcommuting/senate-democrats-push-for-500-billion-in-infrastructure-investment/2017/09/28/c64b5a90-a457-11e7-ade1-76d061d56efa_story.html?utm_term=.342bee5db633 …	
This nomination comes at a critical juncture for the agency and for all Americans as we confront the enormous challenge and opportunity to modernize our aging infrastructurehttps://twitter.com/EPWDems/status/915934522457378816 …	
While our country debates how to address #climatechange, rising sea levels and extreme weather events are the new norm, placing extreme burdens on the American people and economyhttps://twitter.com/weatherchannel/status/915628543228338176 …	#climatechange
I'm cosponsoring a bill introduced by @SenFeinstein that bans the sale, transfer, importation, manufacture or possession of bump stockshttp://cnn.it/2yIB31X 	
Never has an @EPA nominee so consistently under-estimated the risks of chemical exposures to the most vulnerable among us—not until Michael Dourson. #ScienceForSale	#ScienceForSale
TCE (an industrial solvent) is found in consumer products despite its universally recognized links to cancer. Michael Dourson was paid by manufacturers to say protections against TCE should be weakened. #ScienceForSalepic.twitter.com/bLtE0l3B6X	#ScienceForSalepic
Chlorpyrifos (an insecticide used on crops and golf courses) is a neurotoxin that causes nausea, dizziness and headaches. It poses a serious health threat to children. #ScienceForSalepic.twitter.com/DEUT52W6dC	#ScienceForSalepic
When Alachlor (a herbicide) contaminates drinking water, it can lead to kidney damage, liver damage and various forms of cancer. It’s banned across Europe. Michael Dourson wants to weaken protections against it. #ScienceForSalepic.twitter.com/8jnI1QoNei	#ScienceForSalepic
Acrylamide (commonly found in fried foods) is linked to various cancers. Industry paid Michael Dourson to conduct an independent review of acrylamide, and he determined that it's safe at levels 25x higher. #ScienceForSalepic.twitter.com/VUDjRuziCf	#ScienceForSalepic
1,4-Dioxane (an industrial strength solvent used in manufacturing for greases, dyes and varnishes) can cause nausea, headaches and lead to liver and kidney damage. #ScienceForSalepic.twitter.com/kmkLC9lyMB	#ScienceForSalepic
Short-term exposure to 1-Bromopropane (used in in degreasers, cleaners and industrial lubricants) can cause developmental and reproductive harm. Long-term exposure can lead to reproductive, kidney and liver damage and lung cancer.pic.twitter.com/2xTCbRAro9	
