Looking forward to joining @smerconish on @CNN - tune in!	
The President has tried at every turn to sabotage the ACA, but this is a new lowhttps://www.nytimes.com/2017/10/06/us/politics/trump-contraception-birth-control.html …	
Honored to join @SenatorCarper & @RepBRochester to meet w/members of the @DelawareNG. Thank you for your service to our state & nation.pic.twitter.com/UjHIXy1xUZ	
Let’s invest in the 21st century economy by focusing on America’s advanced manufacturing sector that spurs innovation & creates jobs	
Proud to join @SenStabenow & @LindseyGrahamSC to pass a resolution that designates October 6, 2017 as “Manufacturing Day”	
Full day marking #mfgday17 here in Delaware w/ visits to @Incyte @DuPont_News & @Mishimoto looking forward to talking research and R&D toopic.twitter.com/jTOA8LU8Sh	#mfgday17
There are real structural challenges that are making it hard for State Dept to do its job–we must fill senior positions & focus on diplomacypic.twitter.com/6MlDbxlMof	
It's vital to natl security that our Sec of State is able to speak to allies & adversaries & have them know that he speaks for the President	
RT if you agree – Ds & Rs should work together so we can reduce the tax rate, help the middle class, & make the US more competitivepic.twitter.com/HlOerC5EyW	
#EnergyEfficiency = 2.2 million American jobs. Proud to support this important work!	#EnergyEfficiency
Proud to support national #EnergyEfficiency Day today. Join me in the continued effort to #saveenergy every day!	#EnergyEfficiency #saveenergy
RT if you agree that nobody needs a ‘bump stock’ to turn their gun into an automatic weapon capable of firing 400-800 rounds per minute	
Automatic Gun Fire Prevention Act bans sale of bump stocks/trigger cranks that accelerate semi-auto weapon's rate of fire	
Rs and Ds should work together to pass tax reform that helps the middle class, simplifies the tax code, and makes the U.S. more competitive	
Under Senate GOP Budget, #Medicare spending is cut by $473 billion over a decade to pay for tax cuts - reducing health care for seniors	#Medicare
Re-writing our tax code shouldn’t be done in secret. We need to see a bill. We need to see a score from @jctgov.	
So let’s work *together* on tax reform – Republicans and Democrats – so we can all support a bill that helps our country	
It's my hope that we will listen to @SenJohnMcCain who urged Congress to advance a bipartisan tax reform bill	
My American Dream Accounts Act w @marcorubio helps students build roadmap to college & beyond by helping them open a college savings account	
Had the opportunity to discuss disaster relief efforts for the US Virgin Islands & Puerto Rico w/ @SBAgov Assoc. Administrator James Riverapic.twitter.com/R7qrHLFGTM	
Great to see my good friend Sam Beard from DE, founder of the Jefferson Awards! Sam was on the Hill for a hearing about veterans health carepic.twitter.com/jg81eCznlf	
Proud to support the first-ever #CleanEnergyWeek & federally sponsored investments in energy innovation.	#CleanEnergyWeek
Bob Corker is a true public servant and a strong, smart leader on the Foreign Relations Committee. This is a real loss for the Senate.https://twitter.com/senbobcorker/status/912774998519107586 …	
We need leadership & Congress needs to provide aid NOW	
Glad President Trump is going to Puerto Rico. Puerto Ricans are US citizens & experiencing the unthinkablehttps://twitter.com/AP/status/912693187361329154 …	
Honored to speak w Liberian President Sirleaf today & discuss the U.S. global role. I am grateful for her fearless leadership.pic.twitter.com/imsDAnPxet	
Grateful to @SenatorCollins for opposing #GrahamCasiddy. Dems and Republicans should be working *together* to improve our health care systemhttps://twitter.com/senatorcollins/status/912440489013542912 …	#GrahamCasiddy
In case you need another reason to oppose #GrahamCassidy, the @USCBO says it will lead to millions more Americans w/out health insurance	#GrahamCassidy
RT if you agree – we should work together to get make health care more accessible & affordable for all Americans	
Report estimates that 21 million Americans would lose coverage by 2026 under #GrahamCassidy:https://www.brookings.edu/research/how-will-the-graham-cassidy-proposal-affect-the-number-of-people-with-health-insurance-coverage/?utm_content=buffer3338c&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer …	#GrahamCassidy
. @SenatorCarper is right. This is NOT what we learned from the last time. We need to work together & get it righthttps://twitter.com/SenatorCarper/status/912314051425918976 …	
Today at 2PM will be the first & ONLY hearing on the GOP's latest #Trumpcare bill. This is not how we improve our health care system.	#Trumpcare
Awesome ending to @Eagles game today!!! Rookie kicker Jake Elliott nails longest FG in @LFFStadium history (61 yards) for W #FlyEaglesFly	#FlyEaglesFly
Once again. Proud of and grateful for my friend @SenJohnMcCain. Now let's get to work, Rs and Ds together, to improve our health care system	
Proud to join w/Secretary @madeleine in @TIME to argue that diplomacy & development are vital tools of natl securityhttp://time.com/4952214/trump-diplomacy-protect-america/ …	
Let's listen to @PattyMurray and @SenJohnMcCain and work together, across party lines, to improve our health care.https://twitter.com/pattymurray/status/911299883587526656 …	
We should do the right thing for our constituents & work TOGETHER on health care. American lives are at stake here.	
RT if you agree – we should be IMPROVING our health care system, not destroying it	
21. Million. Americans. Again, to my GOP colleagues: let's work *together* on health care. This is wrong.https://www.nbcnews.com/politics/congress/study-21-million-more-uninsured-under-graham-cassidy-health-care-n803801 …	
Who's telling us that #GrahamCasiddy is a disaster? Every single Medicaid Director in the US. Republicans & Democrats From all 50 stateshttps://twitter.com/aslavitt/status/911018434804068352 …	#GrahamCasiddy
RT if you think we can do better by working *together* to improve health carehttp://www.politico.com/story/2017/09/22/trump-obamacare-repeal-doubts-243000?lo=ap_a1 …	
CEO of @westsidehealth, Lolita Lopez speaks about #grahamcassidy hurting our most vulnerable populations here in #Delawarepic.twitter.com/sv6QdQHNDj	#grahamcassidy #Delawarepic
Joining @senatorcarper & key DE healthcare policy makers at @wilmingtonVAMC to speak out against Graham-Cassidy. Bill is wrong/shortsighted.pic.twitter.com/6tb0gZyCyx	
Um. Not quite.https://twitter.com/realdonaldtrump/status/910641701064204288 …	
To my GOP colleagues: When doctors, hospitals, patient advocates, and orgs like @AARP say your health care bill is bad, you should listen!https://twitter.com/abcpolitics/status/910205588264628225 …	
Wishing you and yours Shana Tova, a year of good health, peace and joy #RoshHashana	#RoshHashana
This is a big deal. We have to stop this #GrahamCassidy legislation. We should be working *together* to improve the ACAhttps://twitter.com/aslavitt/status/910574907376971777 …	#GrahamCassidy
We must keep fighting. We can't let this pass. #GrahamCassidy would only lead to a less healthy America	#GrahamCassidy
Discriminate against people w/ pre-existing conditions, get rid of consumer protections, & throw the individual market into chaos	
Republicans are back w/ another version of #Trumpcare & it will threaten the health care of millions of Americans	#Trumpcare
#GrahamCassidy will end Medicaid as we know it, eliminate consumer protections in the #ACA by giving states the opportunity to repeal them	#GrahamCassidy #ACA
What we shouldn't be doing here is playing Russian roulette with the American health care system:https://www.youtube.com/watch?v=fpLf4177rOk&feature=youtu.be …	
Our hearts & thoughts are with @usvirginislands and @PuertoRicoPUR as #HurricaneMaria approaches. Please know that you are in our prayers.	#HurricaneMaria
I'm committed to working TOGETHER to improve the ACA, but this doesn't helphttp://www.politico.com/story/2017/09/19/obamacare-stabilization-bill-status-242875 …	
. @AARP is spot on in saying it's "irresponsible" for the Senate to vote on #GrahamCasiddy without knowing about its potential consequences.	#GrahamCasiddy
RT if you agree – we shouldn't pursue a partisan, damaging h/c bill. We should improve the #ACA & make it work for ALL Americans.	#ACA
Under #GrahamCassidy, states could stop covering essential health benefits like maternal care, mental health, & emergency room services	#GrahamCassidy
Under the #GrahamCassidy bill, subsidies for private insurance & #Medicaid expansion would end.	#GrahamCassidy #Medicaid
We can't stop fighting – this bill would be devastating for Delaware & the rest of the country	
I join my fellow Dems in demanding a full @USCBO analysis of the #GrahamCassidy bill before we vote on it:http://www.politico.com/story/2017/09/18/obamacare-repeal-lindsey-graham-bill-cassidy-cbo-242841 …	#GrahamCassidy
RT if you think this is a really bad idea "Senators really could vote to repeal Obamacare in the next 11 days"https://www.vox.com/health-care/2017/9/19/16329662/obamacare-repeal-graham-cassidy …	
I also hope that the President sees the value of int'l organizations like the UN in confronting global challenges like climate change.	
At the UN today, President Trump must strengthen our partnerships around the world, not tear them apart.https://twitter.com/nytimes/status/910124099996971008 …	
If you called, tweeted, wrote, or emailed your Senator this summer to stop ACA repeal, you need to do it again. This is really happeninghttps://twitter.com/davidnather/status/909859945910333446 …	
You are the only thing standing between the #ACA & the Graham-Cassidy repeal bill - call your senators now!pic.twitter.com/MHnNNEgHj2	#ACA
RT if you agree – every American should have the health care they need. We should be working *together* to improve the #ACA.	#ACA
The American people have been very clear - they do not want to repeal the #ACA. We should listen to our constituents & IMPROVE the law.	#ACA
The #ACA is still under attack - don’t stop calling your senators, don’t stop voicing your support	#ACA
Graham-Cassidy ACA repeal bill is a threat to the h/c of millions of Americans –we need to oppose it w/all we’ve gothttps://www.vox.com/policy-and-politics/2017/8/1/16074746/cassidy-graham-obamacare-repeal …	
Republicans are once again threatening to repeal the ACA. Now is not the time to stop fighting:http://www.politico.com/story/2017/09/17/obamacare-senate-republicans-repeal-242821 …	
Great to recognize Delaware's volunteer firefighters today at their DVFA annual convention. Congrats to Rich Perillo as incoming president.pic.twitter.com/Lawi8NCrLg – at Delaware Room Dover Downs Casino	
8 mil metric tons of plastic enter the ocean each yr. This is a global problem – we're all the cause & we must all work towards a solution.	
America was founded as a nation of immigrants, & it thrives because of its diversity, not in spite of it #DefendDACA	#DefendDACA
DREAMers are our friends, classmates, coworkers, colleagues. Just as American as any one of us.	
Edie's courage has inspired us, & her legacy will live on as she rejoins her wife & partner of 40+ yrs, Thea Spyer, in heaven. #LoveWins	#LoveWins
Sad to learn of the passing of Edith Windsor, plaintiff in SCOTUS case that struck down DOMA’s core & paved the way for marriage equality.	
In 2016 I asked @usnews to stop incentivizing colleges to admit wealthiest students @ expense of low-income students https://www.coons.senate.gov/download/coons-letter-to-usnwr-2016-09 …	
Proud to reaffirm the US commitment to a lasting relationship w/ Africa during a visit to Nigeria last month:https://www.cfr.org/blog/senator-coons-us-africa-relationship?sp_mid=54881565&sp_rid=amNhbXBiZWxsQGNmci5vcmcS1 …	
Spent this AM w/ @demilacad remembering those we lost on this day in 2001. Students do a wonderful job hosting the annual event.pic.twitter.com/VWHXBto448	
We also recognize the extraordinary bravery shown by police, fire and other first responders as they rushed to the scenes to help others.	
16 years ago, we were forever changed by the terrorist attacks of 9/11. Today we pause to remember the innocent lives lost in NY, VA & PA	
Important read from @BillGates, someone who knows a bit abt the value of smart investments in R&D. I'll keep fighting for @ARPAE in Congresshttps://twitter.com/BillGates/status/905858409278341120 …	
POTUS would like to see CNCS funding eliminated, but the dinos & I know that would send our country back to a land before timepic.twitter.com/H61mCxEMRs	
These dinosaurs are going to (Jurassic) park themselves in DC until Congress saves national service program fundingpic.twitter.com/uPTgt7Sfd6	
I stand w/ the Service Year Alliance dinosaurs to protect service programs like AmeriCorps & Peace Corps from going extinctpic.twitter.com/sTGMNmn1ZE	
Very glad Appropriations just funded the @StateDept & nat’l security programs $51.35 billion, rejecting POTUS’ disastrous proposed cuts	
Couldn't agree more with Judge Hamilton ordering the @EPA to take action on #Delaware air pollution plan. #cleanairhttp://delonline.us/2eFpOPG 	#Delaware #cleanairhttp
If Congress doesn’t act soon, patients & families will face higher premiums & fewer choices next yr when Trump lets ACA “implode”https://twitter.com/voxdotcom/status/905052977911783431 …	
