Wrote more about this in @realclearpolicy:http://www.realclearpolicy.com/articles/2017/09/27/reinventing_washingtons_broken_budget_process_110369.html …	
Thanks for asking. Budget resolution should be a law. Include every dollar being spent in budget. Consequences for failure to fund on time.https://twitter.com/shazleton/status/916351646862643206 …	
Team Perdue was on hand to officially welcome Sandler AG to Perry yesterday. Great to see companies investing in the #1 state for business!pic.twitter.com/Rbn370awrJ	#1
The greatest threat to our national security is our national debt. READ my plan to address this crisis in @USATODAY:https://www.usatoday.com/story/opinion/2017/10/05/rising-debt-greatest-national-security-threat-heres-how-fix-it-david-perdue-column/731452001/ …	
That's right. Read more in @rollcall: http://bit.ly/2yZaTbV pic.twitter.com/bBv04SfQDZ	
Was honored to introduce Judge Tripp Self from Macon in his @senjudiciary confirmation hearing today & enjoyed meeting his family. #gapolpic.twitter.com/5QpHPFtekq	#gapolpic
Our hearts break for the victims in Las Vegas & their families. Follow @LVMPD for updates & info on locating loved ones.	
#PrayForVegashttps://twitter.com/WhiteHouse/status/914873599193960449 …	#PrayForVegashttps
Praying for the victims of the horrific shooting in #LasVegas and for the first responders and doctors working to save others.	#LasVegas
Congrats to the 9 GA schools that received a National Blue Ribbon this year! Thanks for going the extra mile to help students succeed.	
Great to hear about the impact @valdostastate is having on South Georgia from their new president, Dr. Richard Carvajal.pic.twitter.com/g6VR95OCXj	
We've lost our competitive edge w/ the rest of the world b/c of our tax code. We need a sense of urgency like never before to get it back.pic.twitter.com/rQ3VY4ct8s	
U.S. corporate tax rate = highest in world. Right now, American companies are better off doing business overseas. We've got to change that.pic.twitter.com/kwJZ7ai8kn	
RT if you agree: We have to overhaul the tax code to grow the economy, help middle-class families, and make America more competitive. #gapolpic.twitter.com/1MWWgNjQ2v	#gapolpic
What happened today in Washington was a failure. Georgians and Americans are fed up, and they should be. #gapolpic.twitter.com/Be4V9oLYtk	#gapolpic
So proud of the great work @PrincipalWelch does for @MeadowcreekHigh. Congrats on being named a finalist for National Principal of the Year!pic.twitter.com/v9AhDptHTI	
My team was honored to meet w/ leaders of the Syrian White Helmets today. Nearly 100k lives have been saved under their leadership. Heroes.pic.twitter.com/lTJ2pi721b	
. @POTUS sent a loud message to financial institutions around the world: choose between doing business w/ the US or supporting a rogue regime	
As a CEO, if I refused to provide audited financial results & cited complexity as an issue, I would’ve been laughed out of the boardroom.	
Had a great meeting today w/ South Korean Trade Minister Hyun-chong Kim to discuss trade & economic relations between our countries. #gapolpic.twitter.com/GIxlF2u4LU	#gapolpic
Happy birthday to my good friend from South Carolina, @SenatorTimScott!pic.twitter.com/tkbwR4as6x	
As @POTUS said today, all sovereign nations must come together to counter North Korea's reckless behavior & growing threats from Iran. #UNGApic.twitter.com/8EOH62jolC	#UNGApic
I met w/ our troops in Afghanistan. @POTUS & Sec. Mattis have finally given them what they've asked for: leadership.http://www.defensenews.com/digital-show-dailies/ausa/2017/09/18/the-afghanistan-strategy-weve-been-waiting-for-commentary/#.WcAcHVC5_7Y.twitter …	#
The RAISE Act is pro-worker, pro-growth, and proven to work. It should be included in any DACA solution. #gapolhttp://insider.foxnews.com/2017/09/18/david-perdue-daca-deal-raise-act-illegal-immigration …	#gapolhttp
Any Congressional solution to DACA should also include the RAISE Act, which @POTUS endorsed and has broad national support. @foxandfriendspic.twitter.com/uMKoCaLUBY	
I'll be live on @foxandfriends in about 10 minutes. Tune in!	
The Constitution is and must always be the guiding hand for our great nation. #ConstitutionDaypic.twitter.com/xJve91tuE7	#ConstitutionDaypic
You are not forgotten. #POWMIARecognitionDaypic.twitter.com/8KWwlK1ei6	#POWMIARecognitionDaypic
Thanks to the crews working hard to restore power across our state. Keep up the good work!https://vimeo.com/233644049?ref=tw-share …	
Joining @Sen_JoeManchin, @SenThomTillis, @MarkWarner, & @BPC_Bipartisan to discuss ideas for economic growth. WATCH: https://bipartisanpolicy.org/events/the-appalachia-initiative/ …pic.twitter.com/mBDJWNefSE	
Yesterday, our country's debt surpassed $20 trillion. Washington has got to wake up. FULL STATEMENT —> http://bit.ly/2vSSxaF pic.twitter.com/L27ED8QQJA	
One of the many stories of Georgians coming together to help others as we brace for #Irma. Thank you to everyone lending a helping hand.https://twitter.com/GaSouthwestern/status/906659783880699904 …	#Irma
ALL I-16 lanes are now traveling westbound. @gohsgeorgia says to exit I-16 before Dublin to avoid I-75 traffic. ---> http://www.511ga.org pic.twitter.com/WVjNbjvc8z	
#Irma is getting closer to making landfall in the U.S. Be prepared, stay safe, & help your friends & neighbors. ---> http://www.perdue.senate.gov/irma pic.twitter.com/57yf3S66CM	#Irma
Please take #HurricaneIrma seriously. If you're in the evacuation zone, follow instructions from local authorities & move to a safe area.pic.twitter.com/jft7sdxqkU	#HurricaneIrma
. @POTUS has my full support as he continues to make America more competitive & simplify our tax system. #gapolpic.twitter.com/DocGxwOK1K	#gapolpic
The RAISE Act should be part of Congress' immigration solution. #gapolpic.twitter.com/ruuRhnqJSp	#gapolpic
Please join me in continuing to pray for TX & LA as they recover & rebuild. Thx to all who are donating & volunteering. #NationalDayOfPrayer	#NationalDayOfPrayer
President Trump was spot on today. http://bit.ly/2wTHylu pic.twitter.com/QL5pOhNNt8	
Wishing a happy birthday to my friend & colleague, @SenThomTillis!pic.twitter.com/tVkGDzePmD	
. @165thAW Thank you for going above and beyond the call of duty to help those in need. We're praying for you and everyone impacted. #Harveyhttps://twitter.com/georgiaguard/status/902660313484595210 …	#Harveyhttps
#TeamPerdue recently visited peanut farms in South GA – 50k+ Georgians work in this industry & produce over half of our country's peanuts.pic.twitter.com/kasdAgRsux	#TeamPerdue
Glad to see @AnheuserBusch in Cartersville & many other GA companies stepping up to help those impacted by #Harvey.http://fxn.ws/2wXemcM 	#Harvey
My national security team visited @RobinsAFB_GA to learn about the incredible work @GA_JSTARS is doing for @USAirForce & @USArmy. #gapolpic.twitter.com/gYvwMfPY1T	#gapolpic
Enjoyed speaking to law enforcement officers at POAG's annual conference. Thank you for your service & dedication to our community! #gapolpic.twitter.com/z0lu9luMva	#gapolpic
When I met with Gen. Nicholson & our troops in #Afghanistan last month, this is exactly the type of plan & leadership they said they need.pic.twitter.com/BLiDLirpbN	#Afghanistan
. @POTUS & Secretary Mattis outlined a clear way forward for American involvement in #Afghanistan. My full statement:pic.twitter.com/k4MQy9Y5Jl	#Afghanistan
Tomorrow, a coast-to-coast solar eclipse will happen for the first time in nearly 100 years. Check out these viewing tips from @NASA:https://twitter.com/nasa/status/899037827626930176 …	
KKK, neo-Nazi, & white supremacist groups spew bigotry & racism. These groups & their ideals are the antithesis of American patriotism.	
The violence we've witnessed today is not who we are as a country. Our thoughts go out all law enforcement working hard to keep the peace.	
The RAISE Act is pro-worker, pro-growth, and proven to work. Check out my op-ed w/ @SenTomCotton in @usatoday:https://usat.ly/2vLDROf 	
Last April, I had the great privilege of presenting a Purple Heart medal posthumously to the family of 1st Lt. Snyder. #PurpleHeartDaypic.twitter.com/UDbm7oVbOO	#PurpleHeartDaypic
. @SenTomCotton & I joined @TuckerCarlson on Fox News earlier this week to talk about the RAISE Act. Watch here:pic.twitter.com/1Ot2y5FQ6A	
The immigration system we are proposing is pro-worker, pro-growth, and it's been proven to work. Full @foxandfriends interview:pic.twitter.com/UoxID0HEhT	
Coming up with @SenTomCotton and @TuckerCarlson!pic.twitter.com/lJfVWx8kgc	
I'm discussing the RAISE Act with @SenTomCotton & @TuckerCarlson on Fox News shortly. Tune in! #gapol	#gapol
My full remarks at the @WhiteHouse today on the RAISE Act.pic.twitter.com/9KlcRSOgOy	
Joining @SenTomCotton in introducing the RAISE Act. Learn more here: https://www.perdue.senate.gov/news/press-releases/senators-perdue-cotton-introduce-the-reforming-american-immigration-for-a-strong-economy-act … #gapol	#gapol
Throughout this entire health care debate & repeal process, we have witnessed everything that's wrong w/ Washington. Here are my thoughts:pic.twitter.com/CCSS05Qj00	
In 2014, the IRS – because of #Obamacare's individual mandate – fined nearly 8 million people almost $1.8 billion.pic.twitter.com/wcQWjhecwI	#Obamacare
I haven't seen a number come out of the CBO that I would depend on yet. Here's why:pic.twitter.com/DWYcDr33Z2	
Premiums in Georgia are going up 42% next year, and 96 of 159 counties only have one insurance carrier. That's under #Obamacare.pic.twitter.com/EC6RjMziaR	#Obamacare
Last night, I listened to a stream of misinformation on #Obamacare. This was my response: https://www.youtube.com/watch?v=IL6xBo7YIXw … #gapol	#Obamacare #gapol
I'm glad the Senate has started a full debate on ways to improve health care. Full statement here: https://www.facebook.com/SenatorDavidPerdue/posts/656877471176647 … #gapol	#gapol
