ICYMI: Read my column in @ThePostRegister: "Keeping our forests healthy."http://www.postregister.com/articles/opinions/2017/10/05/guest-column-keeping-our-forests-healthy …	
ICYMI: My column in @CdAPressNews: "How to Combat Our Kind of Hurricanes."http://www.cdapress.com/article/20171006/ARTICLE/171009860/2202 …	
Glad to intro this bill w/ Western colleagues to help local govt's deal w/ aftermath of large wildfires.http://bit.ly/2yNHvF1 	
I welcome @OMBPress's & this Administration’s recognition that we need to better prevent/manage wildfire disasters.http://bit.ly/2y0s8d2 	
I appreciate @Call_Me_Dutch & @JudgeCarter’s leadership in introducing a companion version of @SenAngusKing & my Senate bill in the House.https://twitter.com/JudgeCarter/status/915959645222637568 …	
Thanks for the invitation!https://twitter.com/foresters/status/915245474696843264 …	
#CravinsCandyEmporium owners started their #smallbiz with a dream & a @SBAgov 7a loan. Enjoyed talking abt small business growth today.pic.twitter.com/ksnjQ15BcI	#CravinsCandyEmporium #smallbiz
"Husband & wife of Winspear Construction say it's a 'dream' for their vet owned biz to build a project at local #Veterans hospital" - @SBAgovpic.twitter.com/1dHo7J9FHP	#Veterans
Proud to name LiveRez as #smallbizofthemonth. Confident they will continue to provide innovative services to #Idaho.http://bit.ly/2xDTtDY 	#smallbizofthemonth #Idaho
Glad to welcome @SBALinda to #Idaho today. Started w/ a great tour of Forward Movement Training, 1 of many outstanding #smallbiz in Idaho.pic.twitter.com/L9XRbFHk1C	#Idaho #smallbiz
We must take urgent, proactive steps to prevent cyber-attacks. Glad to see @brianschatz & my bill pass the #Senate yesterday.https://twitter.com/thehill/status/913552671759626240 …	#Senate
Speaking to @kidnewsradio about North Korea. Tune in now: http://590kid.com/ 	
"We all need to do everything in our power to help our fellow Americans get the most assistance possible." @SmallBizCmte #hurricane hearing	#hurricane
Joining @SecretarySonny for a #wildfire briefing. Tune in now to watch live:https://twitter.com/usda/status/912749963238625280 …	#wildfire
I applaud @SecretaryZinke's quick action on behalf of sportsmen & women across the country.https://twitter.com/secretaryzinke/status/908724163518586883 …	
I applaud @SecretaryZinke’s effort to thin the threat. We need bold actions to avert wildfire devastation.https://twitter.com/SecretaryZinke/status/907731645868003329 …	
Grateful for the opportunity to speak @USChamber's #smallbiz summit this morning abt reducing regulations & helping small businesses grow.pic.twitter.com/VH7NNGYsTp	#smallbiz
$20 trillion debt is alarming. Like hard-working Idahoans, the federal govt must prioritize, budget & say no to things not essentials.	
Glad to see familiar faces from @INL at @NEI panel discussion yesterday. Important to continue developing this critical energy source.pic.twitter.com/004PCgkDJy	
Glad to welcome the @USChamber's Jeff Lungren to Idaho & to receive their top award for pro-business support. http://bit.ly/2wJhwAR pic.twitter.com/FMFTPFhIqW	
Great tour of @FinFunMermaid - @SBAgov's 2017 Idaho Small Biz Person of the Year & @SmallBizCmte's May Small Biz of the Month. #idahofallspic.twitter.com/dsMlbx7Z1n	#idahofallspic
Maintaining our country’s nuclear energy leadership is vital to our national security. https://energy.gov/staff-report-secretary-electricity-markets-and-reliability …	
Vicki and I extend our condolences to Carol and the entire Andrus family - they are in our prayers.pic.twitter.com/UhtN1MidqG	
At #fbboost event: "Washington needs to do all we can to help small businesses start, survive & grow."pic.twitter.com/dJtkSJF0Qw	#fbboost
