Happy Birthday, @CoachBillSnyder! Let's go @KStateFB, beat Texas! #EMAWpic.twitter.com/uitXDW2vhy	#EMAWpic
On this #MFGDay17, I want to thank all our Kansas manufacturers for all the work they do and their critical impact on our economy.pic.twitter.com/pCqt8kB6yo	#MFGDay17
. @BudgetGOP made an impt step on #TaxReform today. Tax reform is critical for KS families & our farmers & ranchers. http://bit.ly/2xljMKS pic.twitter.com/uSTZJ8uuEC	#TaxReform
NEWS RELEASE & VIDEO: Roberts Introduces Kansan Gregg Doud to be Chief Ag Negotiator at @USTradeRep https://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=0C89EB86-06DF-4F56-B9A0-C6F7780B7D70 …	
TUNE IN: Introducing Gregg Doud at his nom. hearing before @GOPSenFinance to be chief #ag negotiator for @USTradeRep https://www.finance.senate.gov/hearings/hearing-to-consider_the-nominations-of-jeffrey-gerrish-of-maryland-to-be-a-deputy-united-states-trade-representative-asia-europe-the-middle-east-and-industrial-competitiveness-with-the-rank-of-ambassador-gregory-doud-of-kansas-to-be-chief-agricultural-negotiator-office-of-the-united-states-trade-representative-with-the-rank-of-ambassador-and-jason-kearns-of-colorado-to-be-a-member-of-the-united-states-international-trade-commission …	#ag
ICYMI: #TaxReform Critical for Farmers & Ranchers, #Ag Held Harmless in FY18 Budget Resolution http://bit.ly/2xifMjv 	#TaxReform #Ag
Great to visit w/ @kscosmosphere's Dick Hollowell to discuss their impressive exhibits & the educational benefits they provide for students.pic.twitter.com/cvWOIbRGA6	
I have a long history of supporting the #CHIP program & continued to do so today. My remarks at today's hearing:https://www.youtube.com/watch?v=saQpVMB11vM&feature=youtu.be …	#CHIP
GovBrownback's personal& professional commitment to religious freedom make him an excellent choice for this position http://bit.ly/2hPkz52 	
NEWS RELEASE: Senator Roberts Urges Foreign Relations Committee to Approve @govsambrownback's Nomination https://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=0E28C3B5-FF8F-4798-B382-CF6AE45EE3FC …	
Heading to @GOPSenFinance markup on #CHIP reauthorization. Tune in here: https://www.finance.senate.gov/hearings/open-executive-session-to-consider-the-keep-kids-insurance-dependable-and-secure-kids-act-of-2017 …	#CHIP
Full Senate approves nomination of Ted McKinney, of Indiana, to be Under Sec. of Ag. for Trade & Foreign Ag. Affairs. @USDA @SenateAgGOP	
Full Senate approves nomination of Stephen Censky, of Missouri, to be Deputy Secretary of #Agriculture @SenateAgGOP @USDA	#Agriculture
TUNE IN: I'll be speaking at the @GOPSenFinance hearing on international #taxreform. Watch live here: https://www.finance.senate.gov/ 	#taxreform
Proud to vote to confirm Kansan @AjitPaiFCC to the @FCC. Look forward to working with him on expanding access to broadband in rural areas.	
Thank you to our brave first responders, law enforcement and all those fighting to save lives.	
God bless the victims of the terrible and senseless shooting in Las Vegas.	
To all those observing #YomKippur, may you have an easy fast.pic.twitter.com/v3fmrBKIDc	#YomKippur
Glad to see kids learn #agriculture at the @AmericanRoyal. Looking forward to carrying on this tradition in Kansas!https://goo.gl/PbWE6J 	#agriculture
I enjoyed visiting with the women participating in @KSFarmBureau's #LeadershipKFB program. A great group of leaders in Kansas #ag!pic.twitter.com/YyGkrZmgld	#LeadershipKFB #ag
Many Kansas families are living paycheck to paycheck and need tax relief. They should be able to keep more of their hard-earned dollars.pic.twitter.com/JTY2RicqNY	
Our tax code is burdensome, confusing and outdated. Americans want #TaxReform. http://bit.ly/2fzNFV4 pic.twitter.com/alWXaru0es	#TaxReform
Congrats to Principal Ben Jimenez of @OberlinUSD294's Decatur Community High for being designated @NASSP's Kansas Principal of the Year!pic.twitter.com/17FTXDkTgk	
ICYMI: @KCStarOpinion explains why I'm getting to the bottom of a new kind of #foodstamp fraud ahead of #FarmBill18.http://www.kansascity.com/opinion/editorials/article174487721.html …	#foodstamp #FarmBill18
To all those celebrating, #RoshHashanah, L'Shanah Tova!pic.twitter.com/mdwhMBoaOv	#RoshHashanah
Sending thoughts and prayers to Puerto Rico as they face #Maria & to the people of Mexico as they recover from the devastating earthquake.	#Maria
Happy Birthday 70th Birthday, @usairforce! Thank you to the men & women of the #AirForce for your service & sacrifice to protect our nation.pic.twitter.com/bWIm9ShTCs	#AirForce
Great news! @POTUS has signed our bill to award @SenatorDole with the Congressional Gold Medal. https://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=389E8BA6-5E6A-42A3-A82E-8C8BDAB062C1 …pic.twitter.com/QDJB1elgtq	
. @SenatorDole is most deserving of this incredible honor!https://twitter.com/SpeakerRyan/status/908680950510505985 …	
Single payer is not the answer. We need a health care system with LESS government control, not more.	
. @SenSanders attempts to move the US toward a single-payer system. Proud to vote to repeal #Obamacare every time & fight for real solutions.	#Obamacare
In true Kansas spirit, utility crews headed to FL to help w/ recovery from #Irma. So proud to see the country united to help those in need.pic.twitter.com/pvcATf0rL5	#Irma
Thank you! Army Strong!https://twitter.com/usarmy/status/906679838492291072 …	
Great to be back at the @KansasStateFair. Always love meeting with fairgoers at my booth and hearing what's on your mind.pic.twitter.com/TMvNZNqf4R	
Great to speak with farmers and ranchers on #FarmBill18 at the annual @KSFarmBureau breakfast at the @KansasStateFair.pic.twitter.com/yZKFRlvVvQ	#FarmBill18
Congressional Gold Medal for @SenatorDole has passed the House! Thx @RepLynnJenkins for your swift work getting this to the president's deskpic.twitter.com/cKdbCH3B6D	
Congrats @govsambrownback & @KansasDeptofAg great teamwork & leadership went into bringing these @Tysonfoods jobs to Kansas!https://twitter.com/govsambrownback/status/905122606549917696 …	
Great news! Bill with @RepLynnJenkins to honor @SenatorDole with Congressional Gold Medal heading to house floor. https://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=F0679C2D-0C09-4960-B841-BA952D054901 …	
God bless the first responders helping those caught up in the floods in Houston.	
At @HarvestersORG I was glad to pack nutrition boxes for seniors participating in Commodities Supp. Food Prog. authorized by the Farm Billpic.twitter.com/6VmK10bndb	
Thanks to @HarvestersORG for hosting a roundtable on nutrition programs in the #FarmBill at your warehouse in Topeka.pic.twitter.com/KYMpt6vQoj	#FarmBill
Honored to be @FortRiley with the @FightingFirst to welcome home Vietnam veterans. Thank you for your dedicated service to our nation.pic.twitter.com/KQlLH8AF6L	
Thanks to Orizon Aerostructures in Chanute for an inspiring tour today. Nat. defense, int. trade, high tech jobs, all in Kansas.pic.twitter.com/Aa22p2JY3A	
Good information on viewing the #Eclipse2017 in Kansas from @kansasdotcom:http://www.kansas.com/news/local/article168294662.html …	#Eclipse2017
