Sen. Rand Paul: Cut Taxes For All!http://www.breitbart.com/big-government/2017/10/04/exclusive-sen-rand-paul-cut-taxes-for-all/ …	
Republicans Must Deliver Tax Cuts For Working Families - The Daily Caller http://bit.ly/2xZUV36 	
Proud to join Senators Hatch, Lee, Cruz and Perdue for criminal justice reform. Read more here: https://www.paul.senate.gov/news/press/dr-rand-paul-supports-legislation-to-increase-criminal-intent-protections …pic.twitter.com/wlu70Zz8Bn	
Hopes reignite for criminal justice reformhttp://bit.ly/2kj1vNb 	
This is a GOP tax plan? Possibly 30% of middle class gets a tax hike? I hope the final details are better than this. http://www.taxpolicycenter.org/publications/preliminary-analysis-unified-framework/full …	
Tragic news out of Las Vegas this morning. Kelley and I send our prayers and deepest condolences to all those affected.	
Praying for the victims and first responders in Las Vegas and our country right now. This shooting was a horrible and cowardly act.	
#FlashbackFriday I've been fighting to balance the budget since day 1 in the senate and I'll continue to do so.pic.twitter.com/eMU0Zqr2AW	#FlashbackFriday
Conservatives are still fighting for free-market reforms to the health care system.http://wkyufm.org/post/rand-pauls-health-care-proposal-gaining-steam-white-house#stream/0 …	#stream
President Trump To Back Rand Paul Health Care Proposal | The Liberty Conservativehttp://bit.ly/2k1zucI 	
ICYMI: “Trump Preparing Executive Order to Let Americans Purchase Health Insurance Across State Lines” | http://bit.ly/2xymb9n 	
Congratulations to @MooreSenate on his impressive victory tonight.	
I didn't run to put a cap ON Obamacare, I ran to put a cap IN Obamacare #killObamaCare #nofakerepealhttps://twitter.com/thisweekabc/status/911975453531000833 …	#killObamaCare #nofakerepealhttps
Good to see @MooreSenate gets it. He won't vote for fake repeal! Roy Moore Speaks Out Against Graham-Cassidy.https://www.google.com/amp/amp.dailycaller.com/2017/09/21/roy-moore-speaks-out-against-graham-cassidy/ …	
Calling a bill that KEEPS most of Obamacare "repeal" doesn't make it true. That's what the swamp does. I won't be bribed or bullied.	
I won't vote for Obamacare Lite that keeps 90% of the taxes & spending just so some people can claim credit for something that didn't happen	
No one is more opposed to Obamacare than I am, and I've voted multiple times for repeal. The current bill isn't repeal.	
We have to stop our foreign policy of endless war and I'll continue to fight for that. #PeaceDayhttp://theatln.tc/2wJeDwd 	#PeaceDayhttp
Sorry Republicans, this is not the Obamacare repeal we were promised | Rarehttp://rare.us/rare-politics/sorry-republicans-this-is-not-the-obamacare-repeal-we-were-promised/ …	
Judge Napolitano on Graham-Cassidy bill: I strongly stand in Rand Paul's camphttp://bit.ly/2fAw1ND 	
The #GrahamCassidy Obamacare Amnesty bill would be one of the largest new appropriations in our history, costing taxpayers over $1 Trillion	#GrahamCassidy
#GrahamCassidy is amnesty for Obamacare. It keeps it, it does not repeal it. I will keep working with the President for real repeal.	#GrahamCassidy
Huge congratulations to my friend @IngrahamAngle on getting her own show on @FoxNewspic.twitter.com/06Zog8VxKm	
Sen. Rand Paul: Graham/Cassidy does NOT repeal ObamaCare and I oppose ithttp://fxn.ws/2xMxkno 	
Keeping 90% of Obamacare is not ok and it's not what we ran on. Conservatives should say no.	
Graham/Cassidy keeps Obamacare and tells the states to run it. No thanks.	
When govt increases ur taxes a trillion & then block grants the $ to the states that's not federalism that's still big govt. #grahamCassidy	#grahamCassidy
Why continue putting out bills breaking our promise to repeal.? #GrahamCassidy redistributes, doesn't repeal. It is more Obamacare Lite!	#GrahamCassidy
I can't support a bill that keeps 90% of Obamacare in place. #GrahamCassidy is not repeal or replace, it is more Obamacare Lite	#GrahamCassidy
Today, U.S. Senator Rand Paul forced the US Senate to hold its first vote addressing an AUMF since 2002. Read here: https://www.paul.senate.gov/news/press/us-senate-votes-on-sen-rand-pauls-aumf-repeal-amendment- …pic.twitter.com/bJgbvYV5hv	
I appreciate @cspan clearly defining to everyone watching what every vote to table means. Yes to table = vote kill my amendmentpic.twitter.com/jORnkL8A3k	
I urge the senate to adopt my amendment...There will be no real debate on war unless we pass this resolution. I yield back my time.pic.twitter.com/YYsCacN3Ft	
For the first time in 15 years we are debating the congressional role in the declaration of war.pic.twitter.com/gjXOr96lpM	
This is a victory for the constitution. I look forward to the vote and urge my colleagues to join me. Full release: https://www.paul.senate.gov/news/press/us-senate-set-to-vote-on-sen-rand-pauls-aumf-repeal-amendment- …pic.twitter.com/GjyYOYuPhu	
We can defend without question against all invaders. And yet, we are not very good at making countries out of places that aren't.pic.twitter.com/tHjEa9wRaC	
We need to look at our country and say, it's time we did things for our country.pic.twitter.com/ZnFpm4tv8t	
I rise today to oppose unauthorized, undeclared and unconstitutional war...pic.twitter.com/yIO0BqIIuq	
Rand Paul's Maneuver Against Endless Warshttp://theatln.tc/2wXuoTq 	
