Events like this help Michigan students build a passion for space and science education	
Students from St. Mary Cathedral School in Gaylord were treated to an out of this world video chat w/ astronauts on the @Space_Stationhttp://bit.ly/2ksPiFQ 	
Proud to celebrate MI’s remarkable manufacturing industry on #MFGDAY17. Making things is in our DNA & we must inspire future generations to explore careers in manufacturingpic.twitter.com/TyEzqBCOy2	#MFGDAY17
Wonderful to visit with President Garibaldi and other fellow alumni at last night’s @UDMDetroit Alumni Gathering in Washingtonpic.twitter.com/Vpi3tnWSjN	
We should not wait any longer to provide certainty to the millions of children who depend on CHIP & to the Americans who will lose access to care if their Community Health Center closespic.twitter.com/P4JLsl5flb	
Outrageous that IRS would spend tax dollars on Equifax contract to protect the identities of taxpayers after company’s breach exposed personal info of 145 million Americanspic.twitter.com/fWP7yIqdjF	
Today the Senate Commerce Committee unanimously passed my bipartisan bill to help ensure MI will lead the world in self-driving vehicle techhttp://on.freep.com/2gbOr7I 	
Congratulations to my friend @JocelynBenson on being named one of @crainsdetroit #40under40 for her great work as @_WayneLaw Dean & fierce advocacy for voting rights through @RISEtoWINhttp://bit.ly/2wt1urJ 	#40under40
T/y Helen for your dedication to MI’s foster children, I was proud to nominate you as my @CCAInstitute Angel in Adoption	
Truly moved by the wonderful work West MI native Helen Zeerip is doing to help older foster children find homes through @GrantMeHope1 http://bit.ly/2g5bSzP pic.twitter.com/R0CNafGuBL	
Horrified and saddened by the violence in #LasVegas, my heart goes out to the victims and their families of this horrific attack.	#LasVegas
Great to be at my alma mater @almacollege for homecoming weekend to visit w/ so many wonderful friends & see @ZetaSigs open their new housepic.twitter.com/89KGxQ29cW	
Sec. Price may have resigned, but the American people deserve to know just how much of their tax dollars he and other Cabinet officials are wasting on excessive travel & perkshttps://twitter.com/sengarypeters/status/911290327633481730 …	
I’m working to help companies transition to ESOP models. ESOP are often more productive, grow faster, have less employee turnover & help loyal employees share in the company's profits	
Toured Cambron Engineering in Bay City, a wonderful example of a company that is 100% employee-owned through an Employee Stock Ownership Plan (ESOP)pic.twitter.com/0LIJ47fayN	
Funding for Children’s Health Insurance Program & Community Health Centers runs out this weekend. We must protect these critical programspic.twitter.com/MJX4bj1iZJ	
Pleased to partner w/ @SenStabenow to intro a bill that will help small businesses and startups get the resources they need to launch & grow http://bit.ly/2xLFzyO 	
MI is home to more than 856,000 small businesses that rely on access to capital to help them compete, grow & create new jobs	
. @SenJohnThune & I introduced bipartisan legislation that will help ensure Michigan & the US continue to lead the world in self-driving vehicle innovationhttp://detne.ws/2xDpooi 	
To protect taxpayer dollars, I'm looking into extraordinary & excessive travel expenses by Cabinet officials & urged OMB to investigate	
Every day brings to light new info on Trump Admin abusing taxpayer money w/ private planes & other travel expenseshttp://politi.co/2wVTdka 	
Congrats to Marines graduating as new infantry officers! Incredible to see 1st female graduate, your hard work will inspire countless womenhttps://twitter.com/usmc/status/912270464671559680 …	
It’s time to come together to hold hearings & find bipartisan solutions to lower costs & make health care work better for Michiganders	
No one in this great country of ours should ever go bankrupt because they get sickpic.twitter.com/nHPGDifbrn	
Headed to the floor to speak against #GrahamCassidy repeal bill that rips away health care from MI families. Watch: http://floor.senate.gov/MediaPlayer.php?view_id=2&event_id=1485 …pic.twitter.com/8IJG0kpKod	#GrahamCassidy
Nobody should go bankrupt because they get sick – must protect families like the Pietrowsksys whose 2 yr old suffers from a heart defectpic.twitter.com/DDO1KtOtL5	
Great day for Ann Arbor & the entire state as @Google opens new Michigan facility that boosts innovation & economic growthpic.twitter.com/OCRsh1rJMj	
As Ranking Member of Federal Spending Oversight, I’m urging OMB to explain why taxpayers foot the bill for private planes & excessive tripspic.twitter.com/4YX25oV6XI	
Reports of Sec Price & Trump Cabinet officials abusing taxpayer-funded travel are troubling, signal culture of wastehttp://politi.co/2jQdOQJ 	
NOW: @SenStabenow & I are fighting to stop #GrahamCassidy that will make MI families pay more $ for less care. Watch: https://www.facebook.com/SenGaryPeters/posts/10155757594269324 …	#GrahamCassidy
Senate Republicans are rushing to vote on #GrahamCassidy next week to rip health care away from 800,000 Michigandershttp://politi.co/2w7tKzH 	#GrahamCassidy
Happy birthday to the love of my life, Colleen. 24 years ago you said yes to marrying me & while I may look older you haven’t changed at allpic.twitter.com/hBF3kRVbYG	
Travel decisions of executive branch employees should not be influenced by potential profit for the President or cabinet members	
GOP is trying yet again to rip away your health care w/ #GrahamCassidy. Make your voice heard & help stop this billhttp://politi.co/2xd4No8 	#GrahamCassidy
Today @CassiniSaturn ended its 20-year mission studying Saturn. Thanks for fascinating look at this different worldhttp://wapo.st/2fnGpYX 	
This #POWMIARecognitionDay we honor the brave men & women taken prisoner or missing in action while serving our nation #YouAreNotForgottenpic.twitter.com/kmlDHCzeoH	#POWMIARecognitionDay #YouAreNotForgottenpic
Congrats @MonaHannaA: a true hero for Flint families! Proud to partner with you to stand up for Flinthttp://on.freep.com/2wsuhvy 	
Pleased to see @FTC will be taking action & investigating #Equifax following my request http://reut.rs/2h4CBff https://twitter.com/SenGaryPeters/status/907700722921340934 …	#Equifax
Excited @BlackGirlsCode received $255k from @GM to launch in Detroit & encourage young women to pursue STEM fieldshttp://on.thegrio.com/2x1nrkb 	
When you entrust your personal info to a company, you expect them to take every necessary step to secure & protect your data	
September 11th is a day that changed our nation - and our lives – forever, but America arose a stronger & more united nationpic.twitter.com/xVUnfrNyJ7	
At Detroit #MarineWeek, humbled to honor memories of those who lost their lives on 9/11 & all who answered the call of duty after attackspic.twitter.com/cZohth0DqZ	#MarineWeek
Protecting survivors of campus sexual assault should be the priority. DeVos' decision only makes students less safehttp://on.freep.com/2ePhhgJ 	
Excited that Detroit is hosting its first ever #MarineWeek! Great chance for MI to celebrate @USMC servicehttp://detne.ws/2gNQJx5 	#MarineWeek
Immigrants are essential to the fabric of our nation. I strongly disagree with President Trump’s decision to rescind #DACA.pic.twitter.com/JqR01lOehV	#DACA
Labor Day celebrates the heritage of MI workers who created the middle class & led the fight for workers' rightspic.twitter.com/lY2ARTRLl2	
Eid Mubarak to Muslims in Michigan and across the country celebrating Eid al-Adha today!	
Harmful algal blooms endanger the Great Lakes, this bill ensures @usioosgov has the tools to combat these threats http://bit.ly/2eHCRRl pic.twitter.com/WlcWNpFGo8	
The right to vote is the core of our democracy, proud to help ensure every American is heard at the ballot box http://bit.ly/2wK8Nyx pic.twitter.com/Vcs0Fu6811	
Thankful to MI @USCG personnel heading to TX to assist in #Harvey rescue operationshttp://bit.ly/2wdblEk 	#Harvey
. @fema is working around the clock to provide critical emergency response services to the region impacted by #Harvey	#Harvey
Happy 200th birthday @UMich! Proud to honor the grand history of this great university on its bicentennial. #GoBluehttps://twitter.com/freep/status/900751969928847360 …	#GoBluehttps
Instead of divisive actions like the pardon & banning transgender servicemembers POTUS should unify country & address crises like #Harvey	#Harvey
This is yet another action by POTUS backing racist ideologies & driving our country further apart in the face of serious, immediate threats	
POTUS decision to pardon sheriff who used despicable & racist policies undermines rule of law and faith in justice system	
Happy Birthday to @NatlParkService! For the last 101 years they have managed & preserved some of MI’s & America's most beautiful landmarkspic.twitter.com/gMTMzHZDau	
My heart goes out to the loved ones of @USNavy sailor Kenneth Smith. His service to our nation will not be forgottenhttp://on.freep.com/2xwU8TU 	
. @LGUS plans to invest $25 million into a new plant in Troy & more Michigan jobs is great news!http://on.freep.com/2xdSerZ 	
Proud to cosponsor legislation that will expand support services for victims of human trafficking. http://bit.ly/2g5Hp7k pic.twitter.com/LIhBeNpXnd	
Excited for today’s historic solar eclipse! I hope you get a chance to see this rare event, remember to be safe.http://bit.ly/2ijpFpK 	
Devastating to see another tragedy w/ @USNavy. My heart goes out to the families & friends of the sailors of the USS McCain.	
Congratulations to the entire Selfridge @AirNatlGuard Base community on your 100th birthday!http://on.freep.com/2xdZmUA 	
Thanks for following my #RideMI Tour! Had a great week meeting w/ Michiganders & riding my @harleydavidson across our beautiful statepic.twitter.com/uuNIfaiwRf	#RideMI
Rolling out for last day of my #RideMI Tour! Glad to have fellow riders – including some from @BoschGlobal MI – brave the rain w/ mepic.twitter.com/NWaWRfejiX	#RideMI
Saddened by the horrible terror attack in #Barcelona. My thoughts are with the victims and the people of this great city.	#Barcelona
Thank you to the members of American Legion Reino Post 21 who joined me yesterday on my #RideMI Motorcycle Tour on the way to Iron Riverpic.twitter.com/eyT2UEuW2w	#RideMI
Vern Ehlers was well respected & I was proud to call him my colleague. His public service was exemplary, an example for all of us to live byhttps://twitter.com/nannburke/status/897939449274912768 …	
On day 3 of my #RideMI Tour I visited two western UP manufacturers in Gogebic & Iron Countiespic.twitter.com/4NUWmVRdHA	#RideMI
The President blames 'many sides' but he should know that white supremacists & neo-nazis sow hate & violence and are wrong. It's that simple	
Kicked off Day 1 of my #RideMI Motorcycle Tour! Met with Vietnam veterans in Marquette County & heading to Baraga County nextpic.twitter.com/yGHz5RHomr	#RideMI
Marquette Harbor Lighthouse is an icon of the city. I enjoyed touring the lighthouse and meeting with @USCG who help maintain itpic.twitter.com/iStkeCYCFq	
Racism & hatred displayed in Charlottesville go against our nation's values. We must stand together to condemn these hateful actions	
Congrats to Grosse Pointe Woods-Shores Little League team for making it this far & good luck advancing to #LLWShttp://bit.ly/2uAmGLq 	#LLWShttp
Proud to work w/ @VVAmerica to pass #Fairness4Vets to help support our servicemembers suffering from invisible wounds of war	#Fairness4Vets
I’ll be presenting UP Vietnam veterans w/ 50th anniversary commemorative lapel pins as well as visiting small businesses & community leaders	
Excited to announce my 2017 #RideMI Motorcycle Tour that will take me across the UP & West Michigan http://bit.ly/2wJnKx4 pic.twitter.com/4MnY6zG6K9	#RideMI
From cherries and corn to soybeans and milk, MI agriculture sector is a vital part of our economy employing roughly 1 out of every 4 workers	
Visited MSU UP Extension & Research Center that provides opportunities for beginning farmers to learn about starting their own businesspic.twitter.com/2uYfHCnxEa	
Toured UP Paper, a great example of how investing in manufacturing can lead to good-paying jobs in MIpic.twitter.com/K2tgBdTO4m	
Today we remember and honor the sacrifice of the men and women in uniform wounded or killed while serving our nation. #PurpleHeartDaypic.twitter.com/jedioF4b3V	#PurpleHeartDaypic
Great visit to Pictured Rocks National Lakeshore to check out the breathtaking sights of this wonderful UP treasure. #FindYourParkpic.twitter.com/vc1s0ZXmew	#FindYourParkpic
Americans of all faiths should feel safe to worship in peace. Thankful no one was hurt in this violent attack.http://nyti.ms/2udEV9q 	
Protecting our Great Lakes means having accurate maps of coastal resources that could be impacted by an oil spill or disasterpic.twitter.com/4oEkYdXSbP	
Thank you @SalineSchools student Melinda McCabe for your hard work as a Senate Page representing Michiganhttp://www.mlive.com/news/index.ssf/2017/07/saline_high_school_student_com.html …	
Honored to join ceremony inducting Medal of Honor recipient James McCloughan into Pentagon’s Hall of Heroes. A great tribute to his service!pic.twitter.com/G1WPGIOHDb	
