#BeatWisconsinpic.twitter.com/oP2IQFxcm1	#BeatWisconsinpic
It’s a privilege to nominate the Phillips family for this year’s #AngelsInAdoption. My full statement:pic.twitter.com/iYfzFuY6ow	#AngelsInAdoption
My bipartisan leg would increase flexibility when complying w #CleanWaterAct reqs for water infrastructure updates https://goo.gl/ZbXLKh 	#CleanWaterAct
Senate just passed my #WaterInfrastructureFlexibilityAct to provide communities w more control as they work to keep families healthy/safepic.twitter.com/mNUGZbwipB	#WaterInfrastructureFlexibilityAct
There’s still more work to accomplish. I'll continue to work w/ Nebraskans to provide the results they deserve: https://goo.gl/zhSPu3  2/2	
Honored to be named the 13th most effective senator last Congress by the #CenterforEffectiveLawmaking. 1/2pic.twitter.com/8w4DOcbS04	#CenterforEffectiveLawmaking
My full testimony at @SenateAgGOP on behalf of my good friend and fellow Nebraskan, Greg Ibach:pic.twitter.com/dMYXZFwGOZ	
SOON: I’m introducing @USDA Under Secretary for Marketing & Reg Programs nominee Greg Ibach at @SenateAgGOP. Watch: http://goo.gl/mFnDkW 	
Enjoyed our last #NEbreakfast of the year this AM. As @RepAdrianSmith said, every week it’s “history in the making.” #74YearsStrongpic.twitter.com/wmBItzMwQU	#NEbreakfast #74YearsStrongpic
. @JournalStarNews’ @LJSdon covers my questions to Sec Mattis and @GenDunford on use of US air power in #Afghanistan.http://journalstar.com/news/state-and-regional/federal-politics/fischer-queries-top-military-officials-about-afghanistan-strategy/article_18ec41ef-f906-5506-92f8-465c823f5e6d.html …	#Afghanistan
TUNE IN: We’ll be hearing from Sec Mattis & Gen Dunford about the situation in Afghanistan in @SASCmajority: http://goo.gl/xju7YL 	
Speaking on the #SenateFloor to honor the service of Nebraska Judges Strom & Riley. Tune in here: http://goo.gl/CHeXKg  #ProudNebraskan	#SenateFloor #ProudNebraskan
Congress has a historic opportunity to revamp our outdated tax code. Read more in my #TaxReform column: http://goo.gl/QjbxNi 	#TaxReform
Mourning the loss of those killed in this horrible Las Vegas shooting and praying for the injured.	
