Russia is a clear adversary in cyberspace and we can’t afford these self-inflicted injuries. https://www.sasse.senate.gov/public/index.cfm/press-releases?ID=B97F3D92-A6C1-48D8-935E-1F822754F164 …pic.twitter.com/82VCTw9vmu	
So, post-hack, Equifax gets $$$ in a no-bid IRS contract & potentially profits selling ID protection to hack victims? We deserve answers.pic.twitter.com/IjIvyM4hIk	
The Gilmores didn’t plan to adopt. But when the opportunity found them, they jumped in: https://www.instagram.com/p/BZoUAcShPIi/  #AdoptionAngelspic.twitter.com/0gPm1dbaNT	#AdoptionAngelspic
In our constitutional system, the government is limited & the people's rights are limitless. Happy #ConstitutionDay!pic.twitter.com/ElVrmuv9EL	#ConstitutionDay
We should fund emergency hurricane relief. We shouldn't spend other $ pretending it's emergency hurricane relief. https://www.sasse.senate.gov/public/index.cfm?p=press-releases&id=CBF86B9F-507D-4147-9053-090EBE5AB2B5 …pic.twitter.com/a3btdSfKwq	
The Pelosi-Schumer-Trump deal is bad.	
#OnThisDay in 1889, Americans raised $100,000 for the pedestal of the Statue of Liberty. Here's what that great story says about America:pic.twitter.com/qsS29kpeEq	#OnThisDay
A word of humble advice to our President: if you’re thinking of making a recess appointment to push out the Atty General, forget about it.pic.twitter.com/7P896qJJzX	
Happy Independence Day to the most exceptional nation in the history of the world.pic.twitter.com/vr9Reb8P2C	
Real fatherhood isn't anything like a greeting card. We all screw up. Here's to all the dads out there who show up & try again. #FathersDaypic.twitter.com/KtbcLJFzOy	#FathersDaypic
We honor the 160,000 troops who fought their way onto the beaches & we tell the story of one Nebraskan whose work made it possible. #DDaypic.twitter.com/pV0yAMFRdm	#DDaypic
This weekend, we tell the story of a special Nebraskan monument to our fallen heroes. Happy #MemorialDay, and #GBR.pic.twitter.com/yGnReHmMlV	#MemorialDay #GBR
In American politics, is it a radical idea to say that the state exists to preserve freedom? So what is so radical about @FedSoc?pic.twitter.com/1WtrJiVhXc	
If we view Russian interference through partisan lenses, they have already begun to win. Here's why:pic.twitter.com/c95cJLwiwR	
Free trade benefits the whole world – but it *really* benefits Nebraska.pic.twitter.com/H28r1XgBD3	
Decentralization of government is a good thing. Here’s why a president – from either party – having lots of power is a bad thing:pic.twitter.com/62Ay3xa0KZ	
Consumers win when there is more trade. Producers win when there is more trade. We should not scapegoat trade.pic.twitter.com/Zb4qYdQW5w	
49 years ago today, #MLK gave his final speech. Read the full text of the speech, here - it will give you chills: http://abcnews.go.com/Politics/martin-luther-kings-final-speech-ive-mountaintop-full/story?id=18872817 …pic.twitter.com/m6rzgJLP8r	#MLK
Baseball is back & Judge Gorsuch is one step closer to to taking his seat on the Supreme Court. It’s a good day for America.pic.twitter.com/vTEJV38kcl	
The simplest way for Russia to try to weaken us is by trying to exploit the places where we are already weak. https://www.wsj.com/articles/america-is-ill-prepared-to-counter-russias-information-warfare-1490655558 …pic.twitter.com/rix3FVLbhB	
Russia's influence campaign is a really big deal. Watch below, then read this: https://www.wsj.com/articles/america-is-ill-prepared-to-counter-russias-information-warfare-1490655558 …pic.twitter.com/WPLq261Qvb	
Today we honor one of the most important men you’ve probably never heard of: Norman Borlaug, the ag pioneer who was born #OnThisDay in 1914.pic.twitter.com/ac69QO90Ga	#OnThisDay
Neil Gorsuch is a threat to you “if you breathe air or drink water”? There is a real danger in not condemning that kind of reckless speech.pic.twitter.com/2a7oKgJ4u3	
Won bigly at #GorsuchHearing.pic.twitter.com/rWF6JgFED4	#GorsuchHearing
Asked Judge Gorsuch for quick overview of why we have the Bill of Rights. It’s worth watching his answer. #GorsuchHearingpic.twitter.com/o94Izap5WY	#GorsuchHearingpic
Seeking assurances from judges on future rulings is like asking a referee for pledges to a certain outcome before the tip-off. #SCOTUSpic.twitter.com/PWVn6kJe4r	#SCOTUSpic
Focused my remarks around a simple image: a judge’s black robe. Here's why Judge Gorsuch will faithfully embody the spirit of that robe:pic.twitter.com/HqzCumUuSU	
Julian Assange should spend the rest of his life wearing an orange jumpsuit. This is why: http://www.sasse.senate.gov/public/index.cfm/press-releases?ID=B079EDA8-3475-4E64-882C-4946E14DAEAD …pic.twitter.com/Zj81vZy0vt	
This regulation makes the assumption that DC bureaucrats are competent to micromanage teacher training programs in America. That's absurd.pic.twitter.com/OcR3R4sZBq	
Full statement on Sessions recusal & Senate Intelligence Committee’s Russia investigation: http://bit.ly/2ljv8y3 pic.twitter.com/G9mLRuusGp	
Happy Birthday, Nebraska! May the legacy of the homesteaders, caretakers of the land, statesmen, and volunteers guide you forever. #ne150pic.twitter.com/FYUbcCfyIX	#ne150pic
Putin and his thugs are fundamentally at odds with America’s interests.pic.twitter.com/SqozmACrbg	
This should not be viewed through partisan labels. Congress should investigate Russia’s influence campaign in the UShttp://www.omaha.com/news/nation/nebraska-iowa-lawmakers-urge-trump-to-get-tough-with-russia/article_7858a685-20c7-5ea0-adb7-9402fe287aed.html …	
This is bigger than D vs. R. The Founders' intended the check on consolidation of power to come from the other branches of government.pic.twitter.com/QRT1USODvd	
Judge Gorsuch is a rockstar. People across the political spectrum should be excited about him. He's not trying to be a superlegislator.pic.twitter.com/cAU0oghAGe	
Debate with MSNBC: Anyone who is concerned about the consolidation of power in the executive branch should absolutely support Judge Gorsuch.pic.twitter.com/Nwr6QjJ3aN	
Sen. Schumer is about to tell Americans that Judge Gorsuch kicks puppies & heckles piano recitals. That’s hogwash.http://www.sasse.senate.gov/public/index.cfm/press-releases?ID=A4C75192-11A9-4449-8588-7A0C014E8764 …	
Gorsuch is a highly-regarded jurist with a record of distinguished service, rooted in respect for the law. #SCOTUS http://www.sasse.senate.gov/public/index.cfm/press-releases?ID=A4C75192-11A9-4449-8588-7A0C014E8764 …pic.twitter.com/YGRoMQyYzH	#SCOTUS
Statement on Border Security and Muslim Nations: http://www.sasse.senate.gov/public/index.cfm/press-releases?ID=813E24D8-1B88-4070-BF16-795305303A2B …pic.twitter.com/lh7mrEyrZV	
The crowd at today's #MarchforLife was so impressive, we ran up on the roof & into the crowds to document it. https://www.facebook.com/SenatorSasse/videos/1163370957094181/ …pic.twitter.com/aLLKzxDJ47	#MarchforLife
Tomorrow, hundreds of thousands will come to DC to #MarchforLife. But the #prolife movement is so much bigger than that. #NEWalkforLifepic.twitter.com/oqmTbcUqhg	#MarchforLife #prolife #NEWalkforLifepic
Reintroduced #BornAlive legislation today, a rare opportunity to find common ground & protect newborns. #prolifepic.twitter.com/VOlCK5FxMm	#BornAlive #prolifepic
Why we celebrate Inauguration Day.pic.twitter.com/8HAipNY7b1	
Today we remember a man of unshakeable conviction who awakened the conscience of our nation. #MLKDay https://www.facebook.com/SenatorSasse/videos/1152217621542848/ …pic.twitter.com/OMZyE63kQT	#MLKDay
It was a privilege meeting with Gen. James Mattis today and it will be a privilege supporting his nomination. http://bit.ly/2jmVR7f pic.twitter.com/2JfKbYcmWM	
"A republic, if you can keep it." A recent survey of the voting public revealed only 57% could name even one of our 1st Amendment freedomspic.twitter.com/pn54PYf8Yh	
If politicians turn the IC’s report into a Red vs. Blue shouting match, Putin gets a free pass. http://www.sasse.senate.gov/public/index.cfm/press-releases?ID=7950689E-AD16-4276-A8E5-02C0B1F84914 …pic.twitter.com/48aMVDy2j1	
Our intel community is unparalleled in the world. We should affirm them & explain why their mission is critical​.http://journalstar.com/news/state-and-regional/federal-politics/sasse-defends-u-s-intelligence-community/article_ffb43b23-3226-51f3-a97e-152743181a13.html …	
Who does overregulation hurt? Those most in need of economic opportunity. The poor - they're the ones who suffer.pic.twitter.com/ryeBwhy5eQ	
Why federalism? Because Nebraska & Vermont are different places with different people who have different values and different problems.pic.twitter.com/udsjJmoCH8	
Happy #BillofRightsDay. Today, we celebrate that the government is limited and the people's rights are limitless.pic.twitter.com/dbw0vWwUe9	#BillofRightsDay
When we talk about work, trade is big topic. But it's a much smaller topic than AI or automation & the transformation of the economy.pic.twitter.com/cqXbNJ4vRE	
Remembering the Nebraskan victims of #PearlHarbor in a special way today. 75 years later, we will never forget you. #PearlHarbor75pic.twitter.com/CYTVrhfs88	#PearlHarbor #PearlHarbor75pic
Every American adult should understand themselves as a part-time politician — especially those in Washington.pic.twitter.com/3J28zBKszw	
What can art history can teach us about limited government? Here's a lesson from George Washington & Cincinnatus.pic.twitter.com/3F4YsCzSzY	
Today we face a crisis of cultural catechesis. If the next generation doesn't understand the American idea, then freedom will slip away.pic.twitter.com/LVT9N7MmBG	
Today we give thanks that our country was based on the premise of religious liberty. #HappyThanksgiving.pic.twitter.com/Ui18KuHv4u	#HappyThanksgiving
The @BetsyDeVos nomination is great news for those of us who care about educational freedom. Full statement: https://www.facebook.com/SenatorSasse/posts/1099793156785295 …	
We've spoken of limited gov't while out of power. We now have the opportunity to model that restraint​ when we're the ones in power. @FedSocpic.twitter.com/WlgtQk0rZP	
Much of the American experiment is about how we restrain potential threats coming from the tyranny of the majority. #ReligiousLibertypic.twitter.com/A9v3z3Hayl	#ReligiousLibertypic
" @SenSasse, @SenRubioPress, @SenJohnBarrasso, @SenMikeLee introduce bill to prevent illegal #Obamacare bailouts": http://bit.ly/2fbYIRm pic.twitter.com/Xj2eaNPM24	#Obamacare
A new approach to constituent services? Stay tuned for more updates from our work tours.pic.twitter.com/PSpGobge2z	
Throughout history America's best have dedicated themselves to the defense of freedom. Today we thank them for their sacrifice #VeteransDaypic.twitter.com/eNUEGkthj9	#VeteransDaypic
Whatever happens, always remember: most of the really beautiful things about America have nothing to do with politics.pic.twitter.com/LTRFLV0f0K	
Per the Constitution, there is no "pen & phone" theory of governance.pic.twitter.com/bOAAg1TEoT	
Why do senior members of the Congress go to the executive branch & ask them to legislate by rule & regulation? That's not good.pic.twitter.com/fghT67tf1T	
If the people don't know the basis by which government rules & the limits of government, our freedom is at risk.pic.twitter.com/2XK3e4rU3X	
More spin won’t solve this: http://bit.ly/2eFc9Yr  It’s time for the White House to admit that #Obamacare isn’t working.pic.twitter.com/zh0MZg0iSg	#Obamacare
The "safe space" movement on college campuses does not understand the first amendment.pic.twitter.com/ZjjKp5ZhaV	
. @NancyPelosi, checks & balances separate our job as lawmakers from punditry or blind political cheerleading.http://bit.ly/2e1BgFb 	
When Tocqueville went to DC, he found a bunch of unimaginative people in a swamp. Not all that much has changed. More of his wisdom:pic.twitter.com/YpeEtM1b5j	
There has been a 600% increase in the number of jobs requiring a government license since 1950. That's troubling.pic.twitter.com/rKnldL1q86	
