Staff Sgt. Black, Staff Sgt. Johnson, and Staff Sgt. Wright's sacrifices will not be forgotten.	
This is a tragic reminder of the dangers facing our brave servicemembers as they combat terrorism across the globe to keep our country safe.	
My thoughts and prayers are with the @FtBraggNC community and the families of Staff Sgt. Black, Staff Sgt. Johnson, and Staff Sgt. Wright.https://twitter.com/fayobserver/status/916329964198334464 …	
Proud to honor Bradley Gordon & Ashley Morrison of Mebane, NC @CCAInstitute #adoptionangels ceremony. http://www.ccainstitute.org/congress-engage/angels/angels-in-adoption-congress …pic.twitter.com/qoAFKnOoEc	#adoptionangels
Proud to cosponsor the Pain-Capable Unborn Child Protection Act. #TheyFeelPain	#TheyFeelPain
Watch my keynote at the @NatImmForum live: http://cdn.digitalservices.online/NationalImmigrationForum/ … #LeadingtheWay17 #SUCCEEDAct	#LeadingtheWay17 #SUCCEEDAct
Looking forward to speaking about the #SUCCEEDAct @NatImmForum's "Leading the Way: A New Approach to American Immigration" #LeadingtheWay17pic.twitter.com/y6zmllHQ8N	#SUCCEEDAct #LeadingtheWay17pic
Happy Birthday, Mom! I love you.pic.twitter.com/UgSyS5ayhW	
FEMA releases Hurricane Matthew recovery moneyhttp://www.wral.com/fema-releases-hurricane-matthew-recovery-money/16989801/ …	
Live: Senate Banking Committee with @WellsFargo CEO Tim Sloan.https://www.banking.senate.gov/public/index.cfm/hearings?ID=FE4441A6-5D3B-4C88-9637-16F9BD71DCAC …	
Editorial from @nypost on the #SUCCEEDAct.http://nypost.com/2017/10/01/will-democrats-betray-the-dreamers-just-to-score-political-points/ …	#SUCCEEDAct
My op-ed with @SenatorLankford via @WashTimes: A conservative approach to #DACAhttp://www.washingtontimes.com/news/2017/oct/1/daca-requires-a-conservative-approach/ …	#DACAhttp
Susan and I send our deepest condolences and prayers to the families of the victims of this horrific and senseless tragedy in Las Vegas.	
I joined @SenatorLankford to discuss the #SUCCEEDAct on @FoxNews, a merit-based solution to address uncertainty facing undocumented childrenpic.twitter.com/CipsKuiKGZ	#SUCCEEDAct
Joining @DanaPerino on @FoxNews @ 10:30 with @SenatorLankford to discuss the #SUCCEEDAct. Learn more about our bill: https://www.tillis.senate.gov/public/index.cfm/succeed-act …pic.twitter.com/lAPn0lLGHC	#SUCCEEDAct
GOP senators unveil new ‘Dreamers’ bill http://www.politico.com/story/2017/09/25/dreamers-republican-new-bill-243100 … #SUCCEEDAct via @politico @seungminkim	#SUCCEEDAct
. @SenatorDurbin's staff let him down by not giving him the right facts. Undocumented children cannot be arbitrarily deported.https://twitter.com/seungminkim/status/912420966696984578 …	
LIVE: Press conference with @SenatorLankford & @senorrinhatch to address the legal status of undocumented childrenhttps://www.youtube.com/watch?v=Sp8D5hbo8mw …	
ICYMI: My Op-ed via @WSJopinion on #TaxReform Tax Reform Transformed North Carolina. Congress, Take Note http://bit.ly/2wGywbQ pic.twitter.com/rlp7rvc2jw	#TaxReform
Thank you to the brave men and women in the @82ndABNDiv who are fighting to keep our country safe.https://twitter.com/fayobserver/status/910832270050775040 …	
A great thing?? In addition to breaking the law, 10K have died crossing border over the last 20 yrs, including kids. #StopPlayingPoliticshttps://twitter.com/allahpundit/status/910685582543618048 …	#StopPlayingPoliticshttps
Susan & I are praying for everyone impacted by the earthquake in #MexicoCity. The U.S. stands with Mexico during this awful disaster.https://twitter.com/TwitterMoments/status/910217328222199810 …	#MexicoCity
Grateful for @realDonaldTrump's leadership addressing undocumented children & border security. We can reach a fair & bipartisan solution.	
A permanent solution to DACA can be achieved by creating a fair and rigorous pathway to conditional legal status. http://bit.ly/2xiw1vw pic.twitter.com/ZidMtIUiBd	
We will #NeverForget the tragic events of #September11.pic.twitter.com/iFX2MJeUuD	#NeverForget #September11
. @marcorubio is a great senator AND a great American.https://twitter.com/ChrisFischer07/status/906175270465490946 …	
Thanks @SecretaryZinke @Interior for your leadership to ensure Swain Co receives long-overdue payment that is owed to them by the fed govt.pic.twitter.com/GafymoLHp6 – at Department of the Interior (DOI)	
We need to work together to come up with a conservative & commonsense path forward for undocumented children. http://bit.ly/2wGcNix pic.twitter.com/BYUHyyljUa	
It’s up to my Dem colleagues to decide on a permanent solution or make it a political wedge issue. I hope they choose bipartisanship. (9/9)	
This commonsense legislative fix can & should unite members of Congress. I’ll work closely with my colleagues on the path forward. (8/9)	
The path to earn legal status would require them to be employed, pursue higher education or serve in our military. (7/9)	
My legislation will provide a fair and rigorous path for undocumented children to earn legal status. (6/9)	
Undocumented children were brought to America through no fault of their own. (5/9)	
POTUS is giving Congress time to fulfill its responsibility & take long-term action on the uncertainty for undocumented children. (4/9)	
I intend to introduce legislation addressing the legal status of undocumented children. (3/9)	
Immigration policy must be set through legislation, not executive orders. (2/9)	
Today, the administration announced it will phase out the Deferred Action for Childhood Arrivals (DACA). (1/9)	
Rick Scott is a conservative problem solver. Glad to see him supportive of the RAC Act, a commonsense, conservative solution. @FLGovScotthttps://twitter.com/FLGovScott/status/903740687472091137 …	
The RAC Act requires young undocumented adults who came to US as minors to be employed, pursue higher ed, or serve in the military. (4/4)	
In the coming weeks, I'll be introducing the RAC Act, a conservative solution that provides a fair but rigorous path to legal status. (3/4)	
It’s the responsibility of Congress to address the long-term uncertainty facing undocumented minors. (2/4)	
Immigration policy should be set through legislation, not executive orders. (1/4)	
I applaud @POTUS for laying out principles for tax reform that include simplifying the tax code, cutting rates, & producing economic growth.	
My statement on @POTUS's speech regarding tax reform:pic.twitter.com/XMZAhX8DG1	
North Carolina stands together with Texas in this time of need. Thank you to the 18th Airborne Corps for assisting the relief efforts.https://twitter.com/WRAL/status/902902752837296128 …	
Heartbreaking news. Thank you to all the first responders & volunteers risking their lives to assist those in need. #HarveyFloodhttps://twitter.com/AP/status/902614336765616132 …	#HarveyFloodhttps
North Carolina is the proud home of the @82ndABNDiv. Thank you for 100 years of service! Here's to 100 more. #AllTheWayhttps://twitter.com/DeptofDefense/status/901051691922890752 …	#AllTheWayhttps
Please continue to pray for our @USNavy and the families of the missing and injured sailors serving on the #USSJohnSMcCain.https://twitter.com/ThisWeekABC/status/900025608712974336 …	#USSJohnSMcCain
Tonight @POTUS clearly defined America’s objectives in Afghanistan and South Asia. (1/3)	
Praying for all aboard the USS John S. McCain and hoping the search and rescue crews can find the 10 missing crew-members.https://twitter.com/NavyTimes/status/899623275713744897 …	
My thoughts and prayers are with the families of the officers who were shot/killed in the line of duty last night.pic.twitter.com/GS8AsllrOR	
Praying for the victims of the senseless terror attack in #Barcelona. We stand in solidarity with Spain in the fight against terrorism.	#Barcelona
The #ForeverGIBill is now law! This ensures our nation’s #veterans have the opportunity to further their education. http://bit.ly/2tDQzy3 pic.twitter.com/jwvyKesCJx	#ForeverGIBill #veterans
When it comes to white supremacists & neo-nazis, there can be no equivocating: they’re propagators of hate and bigotry. Period.	
Susan & I send our deepest condolences to the @82ndABNDiv @FtBraggNC & the families of Sgt. Allen L. Stigler and Sgt. Roshain E. Brooks.https://twitter.com/wral/status/897251026553712640 …	
The hate, bigotry and violence on display in #Charlottesville is despicable and represents the complete opposite of what America stands for.	#Charlottesville
@SenateMajLdr will continue to lead our caucus & bring us closer together to keep the promises we made to the American people. (3/4)	
@SenateMajLdr is the single biggest reason why Neil Gorsuch is now a SCOTUS justice. (2/4)	
As a former Speaker in NC, I know how difficult it is to manage a diverse caucus with different viewpoints and push major legislation. (1/4)	
On #PurpleHeartDay, we honor and remember the men and women in uniform wounded or killed serving our country.pic.twitter.com/B2d5zTVCgl	#PurpleHeartDay
Hey @IngrahamAngle, for Civics 101, @UNC (an outstanding school) offers some intro to American gov’t classes: http://politicalscience.unc.edu/undergraduate/course-schedule-spring-2017/ … #ncpolhttps://twitter.com/ThisWeekABC/status/894193094454673408 …	#ncpolhttps
Facts @IngrahamAngle: 1) I'm not-pro amnesty 2) I've been on receiving end of many negative NYT stories for leading bold conservative agendahttps://twitter.com/IngrahamAngle/status/894190996262662144 …	
Joined @CNN to discuss the Special Counsel Integrity Act I introduced with Senator @ChrisCoons.pic.twitter.com/vN9CIzsA3X	
Praying for the families of the 2 soldiers killed in Afghanistan. Please keep the @FtBraggNC community in your thoughts and prayers as well.https://twitter.com/WRAL/status/893140008944664576 …	
This legislation creates a judicial review process to prevent the removal of special counsels without good cause. http://bit.ly/2wp9NEe pic.twitter.com/6zY8FSBg3A	
Today @ChrisCoons and I will introduce a bill to ensure the integrity & independence of special counsels.http://abcnews.go.com/Politics/wireStory/bipartisan-senate-bill-aims-protect-special-counsels-job-49001867 …	
Hey @TuckerCarlson check your facts. The hold on Cissna released weeks ago and DHS & Trump admin agreed more visas needed to help small biz.	
Mr. Medvedev, the US has three co-equal branches of gov't, a concept you're clearly not familiar with under the Putin dictatorship.https://twitter.com/MedvedevRussiaE/status/892847115281485824 …	
I am pleased @POTUS signed this bipartisan bill that imposes new sanctions on Russia, Iran and North Korea for their transgressions.https://twitter.com/nytimes/status/892758712535986176 …	
Congress has an obligation to keep pursuing solutions to fix our nation’s broken health care system. (4/4)	
We made a promise to the American people to repeal & replace Obamacare with solutions that will help control the cost of premiums. (1/4)	
Today, I voted in favor of bipartisan legislation that imposes new sanctions on Russia, Iran and North Korea. (1/3)	
Happy to see the House overwhelmingly pass a bill to impose new sanctions on Russia, Iran and North Korea.	
Looking forward to having you back, @SenJohnMcCain!https://twitter.com/senjohnmccain/status/889652943791824897 …	
I co-introduced legislation enhancing the post-9/11 G.I. Bill to improve #veterans' access to further education. http://bit.ly/2tDQzy3 pic.twitter.com/Ospr8XDCe1	#veterans
The first in class @aircraftcarrier #USSGeraldRFord has been commissioned! Congrats @USNavy! http://buff.ly/2u7Y791 pic.twitter.com/NMgzPQiDZW	#USSGeraldRFord
Show your support for Tilly for Cutest Dogs on the Hill! http://www.cutestdogsonthehill.com  #Tilly2017pic.twitter.com/2ffyKyFzlc	#Tilly2017pic
Happy Birthday to the love of my life and my best friend, Susan! I love you.pic.twitter.com/sywWkngjya	
Amen.https://twitter.com/BarackObama/status/887836712822558720 …	
(3/3) Susan and I join all North Carolinians in praying for Senator McCain’s recovery and return to the United States Senate.	
(2/3) Courage and fearlessness have always defined his distinguished career of public service.	
(1/3) @SenJohnMcCain is an American hero and a fighter through and through.	
SOPRA takes steps to hold unelected bureaucrats & regulators accountable by restoring proper separation of powers. http://bit.ly/2uK6Pxk pic.twitter.com/UJ5a9uLdhX	
Tilly belongs to one of my staffers! I hope you'll support her in @TheIJR's Cutest Dogs on the Hill: https://cutestdogsonthehill.com/  #Tilly2017https://twitter.com/politico/status/887716095129518080 …	#Tilly2017https
Please continue to keep Senator @kayhagan and her family in your thoughts and prayers.https://twitter.com/WXII/status/887035212412076032 …	
Introduced bipartisan legislation with Senator @timkaine to improve veterans’ experience when using GI Bill benefits http://bit.ly/2tRjWtD pic.twitter.com/yDTILx2hmW	
I enjoyed meeting #BofAStudentLeaders from North Carolina. I applaud them for their committment and passion for improving their communities.pic.twitter.com/SpGmb5uz10	#BofAStudentLeaders
Continuing to pray for all involved in this tragic plane crash. Please keep the Camp Lejeune community in your thoughts and prayers as well.https://twitter.com/wnct9/status/884854231982903299 …	
Marine Corps Air Station Cherry Point and the Havelock community are in our thoughts and prayers.	
Susan and I send our deepest condolences to the families of the Marines who lost their lives in service to our nation.https://twitter.com/foxandfriends/status/884718178697269248 …	
Happy Birthday, President George W. Bush! Thank you for your ongoing commitment to honoring and empowering our nation's veterans. #43turns71https://twitter.com/TheBushCenter/status/882230044625694720 …	#43turns71https
Wishing you all the best and praying for your quick recovery, Rep. @SteveScalise.https://twitter.com/stevescalise/status/882782040965492736 …	
Grateful this #IndependenceDay to the men and women of our Armed Forces and the thousands of veterans across NC. Happy Birthday, America!pic.twitter.com/1u53A04DJd	#IndependenceDay
100 sit-ups: no problem 17 pull ups: maybe 22:40 three-miler: makes me light headedhttps://twitter.com/sendansullivan/status/881226659231399936 …	
Called on @SenateMajLdr to cancel the August work period if progress isn't made on funding the government & dealing with the debt ceiling.https://twitter.com/foxnews/status/880835711422926849 …	
I secured key provisions in the NDAA to help improve quality of life for #servicemembers and military families. http://bit.ly/2s5KaGY pic.twitter.com/aR5wFgCl1m	#servicemembers
I finally have a reason to use this photo. Thanks, @SenPatRoberts!pic.twitter.com/mhtIaJouHE	
