Over the past week, I’ve introduced or cosponsored three criminal justice reform bills: https://www.lee.senate.gov/public/index.cfm/press-releases?ID=95C42A54-3365-471F-8D43-6CFEFFD1C3E5 …	
Utah's manufacturing sector is a middle class family-making machine: http://www.deseretnews.com/article/865690395/Sen-Mike-Lee-Utahs-manufacturing-sector-is-a-middle-class-family-making-machine.html … #manufacturingday #MFGDay2017	#manufacturingday #MFGDay2017
From the testimony of his life, it is clear that Elder Hales honored his father’s advice, and "flew right:"https://youtu.be/acoBL1I6dW8 	
It was good to meet with @prezholland from @UVU about higher-ed reform. Legislation coming soon. #utpolpic.twitter.com/S7AIwl724C	#utpolpic
Bipartisan criminal justice reform is how Congress is supposed to work – the time is now to get it done http://fxn.ws/2wwYASU  #FoxNews	#FoxNews
Support is growing for expanding the child tax credit:https://www.expandthechildtaxcredit.com 	
Congratulations to former Utah Governor Jon M. Huntsman, Jr., who was confirmed as the next ambassador to Russia!https://twitter.com/JonHuntsman/status/913544786581344258 …	
Good background on why we need to pass Native Species Protection Act - https://www.ksl.com/?sid=45950622&nid=1417&title=iron-county-property-owners-want-us-supreme-court-to-hear-prairie-dog-case … via @KSLcom	
In order for tax reform to succeed, American families need to be first in line for relief: https://www.lee.senate.gov/public/index.cfm?p=press-releases&id=68ABE957-E2EC-44FE-8757-9C542E909144 … @marcorubio	
Republicans need to keep their promise to provide relief to American families who have been hit hardest by impact of #Obamacare.pic.twitter.com/TrdZeTbhUC	#Obamacare
I am fully confident the Education Department will reject this Education Department OIG report:https://www.wgu.edu/OIG-audit-report …	
Western Governors University has been a true leader in quality higher education innovation and I fully support them. https://www.wgu.edu/OIG-audit-report …	
The House passed civil asset forfeiture reform with a strong bipartisan vote. The Senate needs to follow their lead:http://www.foxnews.com/politics/2017/09/20/has-asset-forfeiture-gone-too-far-truck-seizure-case-sparks-outrage-call-for-change.html …	
I cannot imagine anyone as well-qualified to serve as U.S. Ambassador to Russia as my friend and former boss, Jon Huntsman Jr.pic.twitter.com/muODSFYcE1	
Very good detailed analysis on why reducing parent tax penalty should be focus of tax reform: https://www.finance.senate.gov/imo/media/doc/Ponnuru%20Testimony%20FINAL.PDF … @RameshPonnuru @AEI	
When we send our armed forces into harm's way, we should do it in manner prescribed by Constitution: https://www.facebook.com/senatormikelee/videos/1616973995000954/ … @SenRandPauI	
Utah has highest rate of volunteerism, and Americans overall do well when it comes to this social capital indicator: https://www.lee.senate.gov/public/index.cfm/2017/9/volunteering-in-america …	
Happy 90th birthday, television! On this date in 1927. Philo T. Farnsworth transmitted 1st electronic TV signal: https://www.thehistoryoftv.com pic.twitter.com/ezpIx9GVPo	
The growing pattern of hostility toward people of faith who come before Senate for confirmation hearings is wrong: https://www.lee.senate.gov/public/index.cfm?p=speeches&id=6AF321E5-EC2D-44BB-AE37-6A7F6FBD5055 …	
Congress is finally working to defund civil asset forfeiturehttp://thehill.com/blogs/pundits-blog/civil-rights/348890-congress-is-finally-working-to-defund-civil-asset-forfeiture#.Wa8GbeoNYMc.twitter …	#
My prayers are with those in Texas and I commend Utah Task Force 1 for answering the call to help those in need:http://www.sltrib.com/news/2017/08/27/utahs-top-search-and-rescue-team-in-houston-saving-people-trapped-in-flood-waters/ …	
Just watched #SolarEclipse17 with the family. It was pretty awesome!pic.twitter.com/xRBoLzUuqE	#SolarEclipse17
Who else thinks the CBO should have to show its work?http://www.washingtonexaminer.com/sen-mike-lee-make-the-cbo-show-its-work/article/2630568 …	
Great work!https://twitter.com/swinshi/status/892359504976916480 …	
Check out the Social Capital Project's state-by-state breakdown of growth in unintentional opioid overdose deaths: https://www.lee.senate.gov/public/index.cfm/2017/8/theopioidcrisis …pic.twitter.com/oHdUR4RIaD	
Today’s sanctions against Maduro's regime are welcome news. Hopefully they lead to change & release of prisoners such as Utahn Joshua Holt.	
All I can promise is that I will keep fighting for more health care options and lower premiums.	
The process on the Obamacare repeal bill has been terrible from the beginning and the Senate as an institution failed the American people.https://twitter.com/SenMikeLee/status/891005446659727364 …	
Last night did not turn out the way I hoped, but the result is hardly surprising.	
State Licensing Laws Are Mostly Awful; Sen. Mike Lee Might Have a Solutionhttp://reason.com/blog/2017/07/27/state-licensing-laws-sen-lee-reforms …	
We campaigned on repealing Obamacare for seven years. I hope my colleagues will honor their promise & vote with me for the 2015 repeal bill.	
Although there are issues where I disagree with AG Sessions, he is a man of integrity. He has led DOJ in positive direction.pic.twitter.com/hNAP4NHSoa	
170 years ago, Mormon pioneers were first settlers in Utah. I am grateful to represent Utah, and I hope all Utahns have a happy #PioneerDay.pic.twitter.com/pxSneONDX2	#PioneerDay
Stop the feds from taking your stuff: http://nyp.st/2udBrob  via @nypost	
Sen. McCain is a true American hero. He and his family will be in my prayers and I hope to see him again soon.	
DOJ seems determined to lose in court before adopting asset forfeiture policies that protect due process rights: https://www.lee.senate.gov/public/index.cfm?p=press-releases&id=26604D05-CCCF-4678-821A-40258FE210AF …	
Heading to WH lunch in hopes of finding path to real Obamacare repeal.	
The American people and @realdonaldtrump deserve a real repeal bill. We'll keep fighting until we get one.	
Here is my statement explaining why I will vote no on the BCRA motion to proceed: https://www.lee.senate.gov/public/index.cfm?p=press-releases&id=988195A6-7C42-4878-A59F-3FA344D170C9 …	
My colleague @JerryMoran and I will not support the MTP to this version of BCRA #HealthcareBill	#HealthcareBill
I am withholding judgment and look forward to reading it. 2/2	
Just FYI - The Cruz-Lee Amendment has not been added to BCRA. Something based on it has, but I have not seen it or agreed to it. 1/2	
Senator Mike Lee is LIVE and discussing his support of the August Recess delay. Join the conversation now at http://lee.senate.gov/live pic.twitter.com/N3V8vLNw4U	
Senator Mike Lee is LIVE talking about how to return decision making power from Washington back to people: http://lee.senate.gov/live pic.twitter.com/XnvdPs0lq1	
Senator Mike Lee shares his most important metrics for evaluating health care. Join the live conversation: http://lee.senate.gov/live pic.twitter.com/cseQpUUCuN	
Senator Mike Lee tells his constituents about the health care bill & Medicaid updates. http://lee.senate.gov/live pic.twitter.com/xCb7JJ6SpV	
Consumer Freedom Amendment is the conservative way to lower premiums and increase healthcare quality:http://thehill.com/blogs/pundits-blog/healthcare/341469-how-cruzs-amendment-makes-health-insurance-coverage-more-secure#.WWUhUI7M9WM.twitter …	#
I'm holding a healthcare access live event on Wednesday. You can sign up here: https://www.lee.senate.gov/public/index.cfm/live … #utpolpic.twitter.com/yRqOjxCWBP	#utpolpic
#Happy4thofJuly, America! I'm honored to serve the people of Utah as we move forward with our exceptional experiment in self-government.	#Happy4thofJuly
“Congress Can Better Prevent Forest Fires” https://medium.com/@SenMikeLee/congress-can-better-prevent-forest-fires-c0b31d14588c#---0-253 …pic.twitter.com/BfHEpHfbY9	#
My statement on the delayed healthcare vote: https://www.lee.senate.gov/public/index.cfm?p=press-releases&id=27B8DCFF-79A7-4943-9D2E-657F26B17E5E … #utpol	#utpol
“The Missing Ingredient in #BCRA: Humility” —  @SenMikeLee https://medium.com/@SenMikeLee/the-missing-ingredient-in-bcra-humility-771ce270fd00#---0-134 …pic.twitter.com/jGytMcmuq4	#BCRA #
