Hope I’m not too late, @TommyMcFly. Go @Nationals! #OnePursuitpic.twitter.com/0KhVIBxNRt	#OnePursuitpic
Decisions about birth control are deeply personal and belong in the hands of women and their doctors.https://twitter.com/NPR/status/916322381018419200 …	
These Virginia #DREAMers are hardworking students who should be worrying about graduation, not deportation. We must pass the #DREAMAct ASAP.pic.twitter.com/riWtlmkipb	#DREAMers #DREAMAct
In plain English, PAYGO is the rule that’s supposed to prevent Congress from increasing the deficit and sticking our children with the bill.https://twitter.com/CaptainPAYGO/status/915951190743093249 …	
Closing this deadly loophole is something both parties should be able to agree on.http://www.newsleader.com/story/news/local/2017/10/05/las-vegas-shooting-gun-control-bill-supported-warner-kaine/735278001/ …	
If you’re not concerned about this, you should behttps://twitter.com/ABCWorldNews/status/915629034586873856 …	
Retweet if you agreehttps://twitter.com/kasie/status/915627923998150656 …	
Met #DREAMers from @GeorgeMasonNews this AM. @TimKaine & I are fighting to pass the #DREAMAct & #ProtectDREAMers like these young Virginianspic.twitter.com/leKupu2Pgr	#DREAMers #DREAMAct #ProtectDREAMers
. @SenatorBurr & I will give an update on the Senate Intel Committee’s Russia Investigation today at 12:15pm. Watch: https://www.facebook.com/MarkRWarner/videos/10155832810807853/ …	
Honored to introduce Kenneth Juster, nominee to be the US Ambassador to India today in the Senate Foreign Relations Committee. #IndiaCaucuspic.twitter.com/7GwU0FEoFM	#IndiaCaucuspic
Unbelievable. I can think of 145 million reasons why the IRS should have thought twice about this.http://www.politico.com/story/2017/10/03/equifax-irs-fraud-protection-contract-243419 …	
#DREAMers who came here as children love our country & deserve a shot at the American Dream. That's why I support the bipartisan #DREAMAct.pic.twitter.com/vC07fYMb7r	#DREAMers #DREAMAct
Here’s how you can help victims of the #LasVegasShooting:https://twitter.com/NBC12/status/914911679011590150 …	#LasVegasShooting
I hope we can continue to put aside party politics and find more opportunities to make healthcare work better for the American people.	
Just as important, this is the first bipartisan fix to the Affordable Care Act introduced since last month's healthcare debate.	
This bill will go a long way towards reducing the ACA’s reporting burden & making it easier for businesses to cover their employees.	
Introduced the Commonsense Reporting Act today with @SenRobPortman to reform ACA reporting requirements for small & mid-sized businesses.pic.twitter.com/GZlZTexAQU	
Millions of kids are counting on us to protect their healthcare, and we’re out of time to waste. #CHIP	#CHIP
While I’m hopeful @SenateFinance will pass a bipartisan #CHIP extension soon, that doesn’t excuse the fact that it was allowed to lapse...	#CHIP
About to kick off my @AARPVa healthcare tele-town hall. Listen in: http://spr.ly/60108NSzO pic.twitter.com/XN74u7pY4n	
At this point, I question whether Equifax has the right to continue providing services with its current lack of attention to cybersecurity.https://twitter.com/MarkWarner/status/912742610304987136 …	
A good start would be to give up on taking away healthcare from millions of Americans and focus on getting an aid package passed this week.https://twitter.com/MarkWarner/status/912687600900739072 …	
These are our fellow Americans. If the Administration's response does not dramatically improve, Congress should take action on its own.https://twitter.com/SheriShannon27/status/912657256000434176 …	
The Senate Finance Committee's #GrahamCassidy hearing has been postponed so that those directly impacted by the bill can be ejected.pic.twitter.com/pULTDYkuce	#GrahamCassidy
Danté is a 15 year old Virginian with a rare brain condition covered by #Medicaid. He's waiting in line for today's #GrahamCassidy hearing.pic.twitter.com/XTEXHZi97G	#Medicaid #GrahamCassidy
The line for today's #GrahamCassidy Hearing is longer than the Comey Hearing line. Good. Tune in at 2PM.pic.twitter.com/wA3kZCbkFr	#GrahamCassidy
Last chance to submit a comment for Monday's #GrahamCassidy hearing. Email GCHcomments@finance.senate.gov by 9:00 AM ET Monday.https://twitter.com/markwarner/status/911581291375677441 …	#GrahamCassidy
IMPORTANT. Please submit a statement for Monday's #GrahamCassidy hearing and make your voice heard.https://twitter.com/ronwyden/status/910988153753935873 …	#GrahamCassidy
Unacceptably delayed, but relieved this is finally happening after months of pushing. We have to do better in the future.https://twitter.com/AP/status/911344431613317122 …	
I’m fighting to stop #GrahamCassidy for Virginia kids like Charlie.https://twitter.com/woodra/status/909955736431681536 …	#GrahamCassidy
Important & absolutely necessary first step. The American people deserve to know the truth about Russia’s interference in the 2016 election.https://twitter.com/politico/status/910940988260184071 …	
Look at these numbers and try to tell me #GrahamCassidy covers pre-existing conditions.https://twitter.com/steverattner/status/910149287534825472 …	#GrahamCassidy
Two solid NO votes on #GrahamCassidy here. Keep calling, keep writing. Your voice is more important than ever.https://twitter.com/AmericanLungVA/status/910503047595384833 …	#GrahamCassidy
Today it is against the law to deny someone coverage for a pre-existing condition. We can't go back.https://www.vox.com/policy-and-politics/2017/9/18/16330574/cassidy-graham-preexisting-conditions …	
As a former governor, I can tell you a $1.2 billion hole in your budget (like the one #GrahamCassidy creates for Va) means people get hurt.https://twitter.com/Phil_Mattingly/status/910191800169754626 …	#GrahamCassidy
The Senate Intelligence Committee has invited Trump lawyer Michael Cohen to appear in open session.	
Doctor’s orders: vote NO on #GrahamCassidyhttps://twitter.com/AmerMedicalAssn/status/910168746001563648 …	#GrahamCassidyhttps
You, me, and the American people. This is the most sensible thing I’ve seen on Twitter all day. #GrahamCassidyhttps://twitter.com/sharyninva/status/910192630105018380 …	#GrahamCassidyhttps
Joint Statement with @SenatorBurr on the Intel Committee's Postponing of Trump Lawyer Michael Cohen’s Interview:pic.twitter.com/pEfSge3UFI	
Absolutely.https://twitter.com/caltexona/status/909789922957123584 …	
Let's be clear: we need a FULL CBO review, which (for good reason) takes weeks.https://twitter.com/MarkWarner/status/909877685156847616 …	
BREAKING: Senators want to know impact of #GrahamCassidy before we vote on it.https://twitter.com/frankthorp/status/909811351425568768 …	#GrahamCassidy
New bill, same broken, partisan process. #GrahamCassidy is repeal and replace by another name.http://www.politico.com/story/2017/09/17/obamacare-senate-republicans-repeal-242821 …	#GrahamCassidy
Glad Anthem is re-entering the Va exchange. Now it's time for the Trump Administration to stop efforts to sabotage & destabilize the market.https://twitter.com/DailyProgress/status/908752242311909376 …	
Pleased @POTUS signed my res condemning hate groups & the violence in Charlottesville. Unfortunately he still equivocates when he speaks.pic.twitter.com/zy27PQLIDv	
And they paid in RUBLES. Seriously.https://twitter.com/CBSNews/status/908102082544140288 …	
Yesterday I called on @FTC to investigate the #EquifaxBreach. Pleased to learn they're taking action.https://www.ft.com/content/373fdc53-81f2-3207-a4c2-b9c992ae329e …	#EquifaxBreach
The American people deserve to know their government is serious about responding to the #EquifaxBreach & making sure it can’t happen again.https://twitter.com/ABCWorldNews/status/908012417900093441 …	#EquifaxBreach
This passed with the support of all 535 members of Congress. POTUS should send a message that we are 100% united against the forces of hate.	
Mr. President, do the right thing and sign this resolution into law.https://twitter.com/CBSNews/status/907811081824940034 …	
Always informative to hear from @ASlavitt. Important voice in today’s Senate Finance Committee hearing on healthcare costs and coverage.pic.twitter.com/DHTyCxNJd3	
Tonight the House passed my resolution condemning hate groups & the Charlottesville attack. POTUS should send a clear message & sign it ASAP	
More explicit proof that Russia used Facebook to sow discord, divide Americans, and influence the 2016 election.http://www.thedailybeast.com/exclusive-russia-used-facebook-events-to-organize-anti-immigrant-rallies-on-us-soil …	
We can't hesitate or equivocate in condemning white nationalists, the KKK, neo-Nazis, or others who would spread hate & bigotry.	
I hope my colleagues in the House will act on this resolution quickly & send it to POTUS for his signature:https://www.warner.senate.gov/public/index.cfm/pressreleases?id=DBF7B631-32C0-40F2-8404-9D65AAF0A0C8 …	
Today the Senate passed unanimously my bipartisan resolution condemning white supremacist groups & the terrorist attack in Charlottesville.	
On #September11, we remember the victims of that terrible day & the bravery of our first-responders.pic.twitter.com/5vuccz82pf	#September11
This breach involves SSNs, birth dates, addresses & credit card numbers of ~1/2 of all Americans. It is a threat to our economic security.https://twitter.com/CNN/status/906142612494721025 …	
This is a red flag for those of us who care deeply about student safety.https://twitter.com/8NEWS/status/905840947388448768 …	
President Trump & Congress must unequivocally condemn the white nationalist & neo-nazi hate groups behind the violence in Charlottesville.	
Retweet if you agree it’s time for Congress to vote on the DREAM Act. #ProtectDREAMers	#ProtectDREAMers
This is a disgrace. Ending #DACA means going back on our word to nearly 800k #DREAMers who've known no other home than America. #DefendDACApic.twitter.com/nEmpaMe8gM	#DACA #DREAMers #DefendDACApic
We are all one America. Va. stands ready to assist our friends in Texas as they confront & recover from this disaster #HoustonStrong #Harveyhttps://twitter.com/RTDNEWS/status/902918011694317574 …	#HoustonStrong #Harveyhttps
My thoughts are with the families of the sailors lost aboard the #USSJohnSMcCain. I join @USNavy in praying for those still missing.	#USSJohnSMcCain
Makes no sense to cut federal support when a healthy Chesapeake Bay is in sight.https://twitter.com/Daily_Press/status/898484623394484225 …	
My heart is with the victims of today's attack, their families & the people of Barcelona. We stand united against terror, hate & violence.	
"If you’re not outraged, you’re not paying attention" God bless you, #HeatherHeyer #Charlottesville	#HeatherHeyer #Charlottesville
No words.https://twitter.com/cbsnews/status/897555155490492416 …	
Let's be clear: this is not "Obamacare imploding." We're talking about POTUS deliberately sabotaging the insurance market.https://twitter.com/markwarner/status/897530698457690112 …	
This: CBO says Trump Admin sabotage by witholding ACA subsidies will raise premiums 20% and cost taxpayers ~$200B. https://www.cbo.gov/system/files/115th-congress-2017-2018/reports/53009-costsharingreductions.pdf …	
The fact that some of these hate groups are claiming a victory after this tragedy reveals their dangerous agenda & disregard for human life.	
As I'm traveling through Virginia today, I'm thinking of Heather Heyer, victim of white supremacist terrorism in #Charlottesville.pic.twitter.com/osm6ZXNSle	#Charlottesville
Sad day for the Commonwealth. My condolences to the families & fellow officers of our two state troopers lost today.http://www.dailyprogress.com/news/local/two-state-police-troopers-killed-in-helicopter-crash-near-birdwood/article_d5d1b2a4-7fa2-11e7-8481-c31df74aca4c.html …	
Statement on the violence in #Charlottesvillepic.twitter.com/Z36aaDFTsP	#Charlottesvillepic
