#TaxReform is the key to economic growth and vibrancy for future generations.pic.twitter.com/Ut0Me5saew	#TaxReform
I’m so glad @POTUS just signed our bipartisan bill into law!	
. @SenatorShaheen & I introduced the Women, Peace & Security Act to promote women’s inclusion in peace processes.	
We're natural & effective problem-solvers & should have the opportunity to be more involved in these critical international discussions.	
When it comes to peacekeeping and mediation, it just makes sense for women to have a seat at the table.	
My staff joined the #WV Marine Corps League for a monument dedication this week, a fitting tribute to their service.pic.twitter.com/AoYWsmiFev	#WV
#TaxReform will provide needed relief for small business that employ so many West Virginians.pic.twitter.com/cdo6qJ4Jcv	#TaxReform
Inspired by Elkins’ Skyler Moats for her positivity & commitment to raising awareness about kidney research. Great to meet you!pic.twitter.com/Xr6NArOyAF	
Our tax code is too complicated. It’s time to simplify it, and create more opportunity and higher wages for Americans.	
Small businesses are a major economic driver in our economy–95% of businesses in the U.S. are small businesses. This # is even higher in WV.	#
Touched to hear @NALC_National award winner & WVian Holly Allen’s story of helping an elderly woman. Read it here: http://bit.ly/2yT7Pyg pic.twitter.com/kZV1xKDWx6	
. @USGAO releases new study @RepEvanJenkins & I requested on how we can better treat babies exposed to opioids. MORE: http://bit.ly/2yIZyMi pic.twitter.com/2YlangwrXu	
Pleased @GOPSenFinance Cmte just approved a bipartisan funding package for the Children's Health Insurance Program, a good step for WV kids	
Bumped into my friend and fellow WVian @ChrisStirewalt last night – a TV star!pic.twitter.com/hmLHfZoAo2	
Congratulations to Bill Powell, northern West Virginia's new U.S. Attorney. Was honored to recommend you.	
Proud to vote to reconfirm my friend @AjitPaiFCC. He’s been a great partner in my efforts to bring #broadband to WV: http://bit.ly/2xOzBeX pic.twitter.com/J5qXe38HsA	#broadband
Happiest of birthdays to @WoodyWilliams45! Hope you enjoyed my birthday note!pic.twitter.com/RlTIcTPqFO	
I’m confident that rural America will see more progress w/ @AjitPaiFCC’s continued leadership & I’m proud to support his nomination.	
Under @AjitPaiFCC’s leadership, the @FCC has made significant investments to deliver #broadband service to underserved parts of the U.S.	#broadband
More good news for WV’s economy. Great to hear Hino Motors plans to bring more jobs & investment to our state! http://bit.ly/2wX860Y 	
Honored to receive @Aging_Research's Distinguished Public Service Award at the #alliancedinner17. So grateful for the important work they dopic.twitter.com/0Mo56Y91Jp	#alliancedinner17
Let’s create an environment that leads to more investment in #WV & continued job growth. Let’s make it happen with #TaxReform	#WV #TaxReform
Comprehensive #TaxReform can provide relief for families & higher wages for workers & increased economic prosperity.	#TaxReform
WVians deserve relief from the complexity of the current system & they deserve to keep more of their hard-earned income.	
JUST IN: @Toyota WV is investing $115.3 million to expand operations at its Buffalo facility. More information here: http://bit.ly/2hu9SED 	
We’re expanding WVians’ access to the natural splendor of WV in Tucker, Summers, Wayne, Marshall & Berkeley counties http://bit.ly/2wUmeYx pic.twitter.com/5SFsNP8lLO	
Excited to see how @marshallu will use new resources I announced to build a better, stronger economic future for WV: http://bit.ly/2jVzuLk 	
. @huntingtoncity has set an example in the fight to end the drug epidemic. MORE on new funding to continue efforts: http://bit.ly/2y3zVJW 	
Offered a few pieces of advice to the future leaders at Spring Mills High School last week: http://bit.ly/2xB1byz  via @TheJournalWVpic.twitter.com/6aIgMouhUL	
Great news: more funding announced to support community efforts to combat drug epidemic. Learn more: http://bit.ly/2w6YMru 	
Our community health centers provide critical care for WVians. That’s why I’m requesting HELP committee extend funds http://bit.ly/2w7Kd7f 	
Good read in @TheJournalWV about need for hope in creating a #drugfreeWV. Witnessed this during a recent visit. http://bit.ly/2xwbe7n 	#drugfreeWV
Thanked Spring Mills High School Principal Myers & his staff for hosting my 1st Fall Academy Day this Sat. Details: http://bit.ly/2bKciaP pic.twitter.com/w8PXE8p6bU	
NEW: funding announced to support law enforcement efforts in the Mountain State. Details here: http://bit.ly/2yetuQk 	
Ran into a group from Bridgeport & Hurricane before my staff took them on a @uscapitol tour yesterday. Always love meeting WVians!pic.twitter.com/ogyBIz1pn9	
Met w an impressive group of @WVHOSA members & discussed how career technical education is helping WVians in the changing job market.pic.twitter.com/rNLT4iJqkm	
Announced funding to support @ywcacharleston's efforts in helping sexual assault & domestic violence victims recover http://bit.ly/2xaHGwY 	
Teachers like Jefferson Co’s Katlin Thorsell help students succeed-Congrats on being named WV’s Teacher of the Year!http://bit.ly/2fg06VW 	
Looks like a great turnout at @NTIAgov's #BroadbandUSA workshop today in Charleston. Glad so many WVians attended!pic.twitter.com/DbgCGSlm4S	#BroadbandUSA
It’s Congress’ responsibility to ensure our military is prepared. Proud to support a bill that will do just that: http://bit.ly/2fgO4vE pic.twitter.com/ALis4UcqVC	
#TaxReform will enhance growth in our state and provide more job opportunities for West Virginians. Here's how: http://bit.ly/2yl8dp5 	#TaxReform
WVians like Jan & Sheena are leading their community’s fight to curb the drug epidemic. Honored to recognize them at Recovery 4 a Change.pic.twitter.com/7LZI9j363T	
Our National Guard deserves the same retirement benefits as other service members. @WSAZnews has more on my efforts:https://www.youtube.com/watch?v=7YFwQDvxjJM&feature=youtu.be …	
My staff stopped by the Bluefield Coal Show to see hundreds of exhibitors showcase new innovative coal technology & equipment.pic.twitter.com/txsJgbvZZr	
Glad #CapitoConnect has been part of the discussion at @wvcommerce's development summit as @rob_hinton4 talks closing the #digitaldivide.pic.twitter.com/OaPmO4IcIt	#CapitoConnect #digitaldivide
Earlier today I spoke to a group about the benefits of an Appalachian Storage Hub & how it can rejuvenate our region’s economy.pic.twitter.com/svZONJ0ARA	
The United States has an opportunity to be a leader when it comes to carbon capture technologies. WATCH for more:https://www.youtube.com/watch?v=TyvDy2rdMAg&feature=youtu.be …	
Big news: WV health centers like Cabin Creek are getting nearly $3.7M for substance abuse & mental health services. http://bit.ly/2ws97ha pic.twitter.com/NkXT6DWnW3	
Heard about @NASA Astronaut @astro_kimbrough's recent mission aboard @Space_Station. After that mission, he’s now logged 189 days in space!pic.twitter.com/5ayEklK8jh	
Had the pleasure of recommending Michael Baylous to @POTUS as nominee for US marshal. @BDTonline has more: http://bit.ly/2jnPGFa 	
. @marshallu & @WestVirginiaU to receive funding to support workforce training programs. Great news! Learn more here: http://bit.ly/2gYEoCx 	
Join me in praying for the families of 9/11 victims & give thanks to those who keep us safe. http://bit.ly/2w1kKjY 	
. @YeagerAirport is WV’s largest airport & plays a significant role in our economy, which is why I worked hard to secure this funding.pic.twitter.com/B3Q5LLfUqd	
We haven’t had a tax overhaul since 1986. Now is the time to reform our tax system.https://www.youtube.com/watch?v=X43lV9FfM3U&feature=youtu.be …	
My statement on @POTUS nomination of Mike Stuart to be U.S. Attorney in West Virginia's Southern District:pic.twitter.com/abvBuYOJgn	
. @WoodyWilliams45 has dedicated his life to serving others. Thrilled the Huntington VA will be named in his honor: http://bit.ly/2wcE20K pic.twitter.com/C2zLxck3QE	
Continuing to push for WV priorities on the Approps committee. Great wins in bills the committee passed today http://bit.ly/2f8pfie 	
